i,W,q,Q,cth,t,t0,obs,value,stat,syst+,syst-,unit
1,8.158394E+00,4.025243E+00,3.959813E+00,NA,NA,-2.240743E-04,sig,5.060000E-01,9.000000E-02,2.530000E-02,-2.530000E-02,mub
2,8.927217E+00,4.414301E+00,4.354774E+00,NA,NA,-1.551705E-04,sig,5.680000E-01,9.100000E-02,2.840000E-02,-2.840000E-02,mub
3,9.438110E+00,4.672417E+00,4.616246E+00,NA,NA,-1.237281E-04,sig,5.460000E-01,8.900000E-02,2.730000E-02,-2.730000E-02,mub
4,1.001685E+01,4.964479E+00,4.911674E+00,NA,NA,-9.716374E-05,sig,6.250000E-01,6.300000E-02,3.125000E-02,-3.125000E-02,mub
5,1.158080E+01,5.752392E+00,5.706923E+00,NA,NA,-5.399354E-05,sig,6.460000E-01,6.500000E-02,3.230000E-02,-3.230000E-02,mub
6,1.221177E+01,6.069840E+00,6.026778E+00,NA,NA,-4.357626E-05,sig,6.480000E-01,5.200000E-02,3.240000E-02,-3.240000E-02,mub
7,1.413485E+01,7.036284E+00,6.999194E+00,NA,NA,-2.415994E-05,sig,6.610000E-01,5.300000E-02,3.305000E-02,-3.305000E-02,mub
8,1.484709E+01,7.393896E+00,7.358615E+00,NA,NA,-1.982065E-05,sig,6.300000E-01,1.010000E-01,3.150000E-02,-3.150000E-02,mub
9,1.719005E+01,8.569418E+00,8.539007E+00,NA,NA,-1.099403E-05,sig,7.400000E-01,9.200000E-02,3.700000E-02,-3.700000E-02,mub
