i,W,q,Q,cth,t,t0,obs,value,stat,syst+,syst-,unit
1,8.714477E+00,4.306728E+00,4.245679E+00,NA,NA,-1.711952E-04,sig,5.240000E-01,1.010000E-01,4.192000E-02,-4.192000E-02,mub
2,9.731781E+00,4.820659E+00,4.766249E+00,NA,NA,-1.092450E-04,sig,4.460000E-01,5.600000E-02,3.568000E-02,-3.568000E-02,mub
3,1.065237E+01,5.284863E+00,5.235311E+00,NA,NA,-7.571827E-05,sig,4.170000E-01,6.300000E-02,3.336000E-02,-3.336000E-02,mub
4,1.149950E+01,5.711471E+00,5.665672E+00,NA,NA,-5.555364E-05,sig,5.450000E-01,7.400000E-02,4.360000E-02,-4.360000E-02,mub
5,1.228836E+01,6.108361E+00,6.065574E+00,NA,NA,-4.248982E-05,sig,6.560000E-01,9.300000E-02,5.248000E-02,-5.248000E-02,mub
6,1.302956E+01,6.480995E+00,6.440694E+00,NA,NA,-3.354564E-05,sig,5.260000E-01,8.400000E-02,4.208000E-02,-4.208000E-02,mub
7,1.373080E+01,6.833340E+00,6.795138E+00,NA,NA,-2.715482E-05,sig,6.350000E-01,1.200000E-01,5.080000E-02,-5.080000E-02,mub
8,1.472015E+01,7.330174E+00,7.294583E+00,NA,NA,-2.051778E-05,sig,6.080000E-01,1.160000E-01,4.864000E-02,-4.864000E-02,mub
9,1.652208E+01,8.234400E+00,8.202744E+00,NA,NA,-1.289285E-05,sig,5.940000E-01,1.310000E-01,4.752000E-02,-4.752000E-02,mub
