i,W,q,Q,cth,t,t0,obs,value,stat,syst+,syst-,unit
1,3.590297E+00,1.672547E+00,1.504403E+00,9.988721E-01,-1.300000E-02,-7.324038E-03,ds/dt,2.390000E+00,6.290000E-01,0.000000E+00,-0.000000E+00,mub/GeV2
2,4.056559E+00,1.919769E+00,1.776086E+00,9.995946E-01,-7.000000E-03,-4.235517E-03,ds/dt,3.740000E+00,5.360000E-01,0.000000E+00,-0.000000E+00,mub/GeV2
3,4.056559E+00,1.919769E+00,1.776086E+00,9.966618E-01,-2.700000E-02,-4.235517E-03,ds/dt,3.579000E+00,5.200000E-01,0.000000E+00,-0.000000E+00,mub/GeV2
4,4.056559E+00,1.919769E+00,1.776086E+00,9.925558E-01,-5.500000E-02,-4.235517E-03,ds/dt,2.541000E+00,3.980000E-01,0.000000E+00,-0.000000E+00,mub/GeV2
5,4.056559E+00,1.919769E+00,1.776086E+00,9.676268E-01,-2.250000E-01,-4.235517E-03,ds/dt,1.240000E+00,1.350000E-01,0.000000E+00,-0.000000E+00,mub/GeV2
6,4.056559E+00,1.919769E+00,1.776086E+00,9.501764E-01,-3.440000E-01,-4.235517E-03,ds/dt,7.150000E-01,7.250000E-02,0.000000E+00,-0.000000E+00,mub/GeV2
7,4.056559E+00,1.919769E+00,1.776086E+00,9.284735E-01,-4.920000E-01,-4.235517E-03,ds/dt,3.900000E-01,1.385000E-01,0.000000E+00,-0.000000E+00,mub/GeV2
8,4.170604E+00,1.979759E+00,1.840931E+00,9.984565E-01,-1.500000E-02,-3.748954E-03,ds/dt,3.655000E+00,7.055000E-01,0.000000E+00,-0.000000E+00,mub/GeV2
9,4.170604E+00,1.979759E+00,1.840931E+00,9.953011E-01,-3.800000E-02,-3.748954E-03,ds/dt,3.432000E+00,4.780000E-01,0.000000E+00,-0.000000E+00,mub/GeV2
10,4.170604E+00,1.979759E+00,1.840931E+00,9.878929E-01,-9.200000E-02,-3.748954E-03,ds/dt,2.110000E+00,2.010000E-01,0.000000E+00,-0.000000E+00,mub/GeV2
11,4.170604E+00,1.979759E+00,1.840931E+00,9.675889E-01,-2.400000E-01,-3.748954E-03,ds/dt,9.970000E-01,1.780000E-01,0.000000E+00,-0.000000E+00,mub/GeV2
