i,W,q,Q,cth,t,t0,obs,value,stat,syst+,syst-,unit
1,1.979500E+00,7.673821E-01,1.462712E-01,7.772747E-01,-3.668658E-01,-3.168658E-01,ds/dt,3.670000E-01,4.800000E-02,1.375638E-02,-1.375638E-02,mub/GeV2
2,1.979500E+00,7.673821E-01,1.462712E-01,3.318242E-01,-4.668658E-01,-3.168658E-01,ds/dt,2.340000E-01,5.600000E-02,8.771099E-03,-8.771099E-03,mub/GeV2
3,1.979500E+00,7.673821E-01,1.462712E-01,-1.136264E-01,-5.668658E-01,-3.168658E-01,ds/dt,1.840000E-01,5.200000E-02,6.896933E-03,-6.896933E-03,mub/GeV2
4,1.979500E+00,7.673821E-01,1.462712E-01,-5.590769E-01,-6.668658E-01,-3.168658E-01,ds/dt,1.410000E-01,6.500000E-02,5.285149E-03,-5.285149E-03,mub/GeV2
5,2.026000E+00,7.957358E-01,2.605496E-01,8.794185E-01,-2.706384E-01,-2.206384E-01,ds/dt,5.010000E-01,5.300000E-02,1.877915E-02,-1.877915E-02,mub/GeV2
6,2.026000E+00,7.957358E-01,2.605496E-01,6.382554E-01,-3.706384E-01,-2.206384E-01,ds/dt,3.280000E-01,7.900000E-02,1.229453E-02,-1.229453E-02,mub/GeV2
7,2.026000E+00,7.957358E-01,2.605496E-01,3.970924E-01,-4.706384E-01,-2.206384E-01,ds/dt,3.740000E-01,8.700000E-02,1.401877E-02,-1.401877E-02,mub/GeV2
8,2.026000E+00,7.957358E-01,2.605496E-01,1.559294E-01,-5.706384E-01,-2.206384E-01,ds/dt,2.380000E-01,7.700000E-02,8.921032E-03,-8.921032E-03,mub/GeV2
9,2.072000E+00,8.235593E-01,3.390362E-01,9.104637E-01,-2.218652E-01,-1.718652E-01,ds/dt,6.030000E-01,5.000000E-02,2.260245E-02,-2.260245E-02,mub/GeV2
10,2.072000E+00,8.235593E-01,3.390362E-01,7.313911E-01,-3.218652E-01,-1.718652E-01,ds/dt,4.110000E-01,6.600000E-02,1.540565E-02,-1.540565E-02,mub/GeV2
11,2.072000E+00,8.235593E-01,3.390362E-01,5.523185E-01,-4.218652E-01,-1.718652E-01,ds/dt,2.700000E-01,8.100000E-02,1.012050E-02,-1.012050E-02,mub/GeV2
12,2.072000E+00,8.235593E-01,3.390362E-01,3.732459E-01,-5.218652E-01,-1.718652E-01,ds/dt,3.230000E-01,1.000000E-01,1.210712E-02,-1.210712E-02,mub/GeV2
13,2.117000E+00,8.505750E-01,4.025045E-01,9.269775E-01,-1.905153E-01,-1.405153E-01,ds/dt,8.470000E-01,5.200000E-02,3.174838E-02,-3.174838E-02,mub/GeV2
14,2.117000E+00,8.505750E-01,4.025045E-01,7.809325E-01,-2.905153E-01,-1.405153E-01,ds/dt,4.070000E-01,6.400000E-02,1.525572E-02,-1.525572E-02,mub/GeV2
15,2.117000E+00,8.505750E-01,4.025045E-01,6.348876E-01,-3.905153E-01,-1.405153E-01,ds/dt,3.890000E-01,1.060000E-01,1.458102E-02,-1.458102E-02,mub/GeV2
16,2.160500E+00,8.765114E-01,4.565868E-01,9.375318E-01,-1.684866E-01,-1.184866E-01,ds/dt,8.470000E-01,5.600000E-02,3.174838E-02,-3.174838E-02,mub/GeV2
17,2.160500E+00,8.765114E-01,4.565868E-01,8.125954E-01,-2.684866E-01,-1.184866E-01,ds/dt,6.130000E-01,7.000000E-02,2.297728E-02,-2.297728E-02,mub/GeV2
