W,q,Q,cth,t,ds,stat,syst+,syst-,obs,unit,experiment
1.985000E+00,7.707483E-01,1.638216E-01,-5.000000E-01,-6.786240E-01,4.230000E-02,1.270000E-02,4.801050E-03,4.801050E-03,ds/dcth,mb,clas2013
1.985000E+00,7.707483E-01,1.638216E-01,-4.000000E-01,-6.533710E-01,3.890000E-02,8.200000E-03,4.415150E-03,4.415150E-03,ds/dcth,mb,clas2013
1.985000E+00,7.707483E-01,1.638216E-01,-3.000000E-01,-6.281179E-01,4.620000E-02,7.100000E-03,5.243700E-03,5.243700E-03,ds/dcth,mb,clas2013
1.985000E+00,7.707483E-01,1.638216E-01,-2.000000E-01,-6.028649E-01,4.600000E-02,6.200000E-03,5.221000E-03,5.221000E-03,ds/dcth,mb,clas2013
1.985000E+00,7.707483E-01,1.638216E-01,-1.000000E-01,-5.776118E-01,4.090000E-02,5.200000E-03,4.642150E-03,4.642150E-03,ds/dcth,mb,clas2013
1.985000E+00,7.707483E-01,1.638216E-01,0.000000E+00,-5.523588E-01,4.150000E-02,5.300000E-03,4.710250E-03,4.710250E-03,ds/dcth,mb,clas2013
1.985000E+00,7.707483E-01,1.638216E-01,1.000000E-01,-5.271057E-01,4.510000E-02,5.400000E-03,5.118850E-03,5.118850E-03,ds/dcth,mb,clas2013
1.985000E+00,7.707483E-01,1.638216E-01,2.000000E-01,-5.018527E-01,4.890000E-02,5.600000E-03,5.550150E-03,5.550150E-03,ds/dcth,mb,clas2013
1.985000E+00,7.707483E-01,1.638216E-01,3.000000E-01,-4.765996E-01,6.220000E-02,6.100000E-03,7.059700E-03,7.059700E-03,ds/dcth,mb,clas2013
1.985000E+00,7.707483E-01,1.638216E-01,3.700000E-01,-4.589225E-01,8.080000E-02,9.300000E-03,9.170800E-03,9.170800E-03,ds/dcth,mb,clas2013
1.985000E+00,7.707483E-01,1.638216E-01,4.200000E-01,-4.462960E-01,7.180000E-02,8.600000E-03,8.149300E-03,8.149300E-03,ds/dcth,mb,clas2013
1.985000E+00,7.707483E-01,1.638216E-01,4.700000E-01,-4.336694E-01,7.300000E-02,9.000000E-03,8.285500E-03,8.285500E-03,ds/dcth,mb,clas2013
1.985000E+00,7.707483E-01,1.638216E-01,5.300000E-01,-4.185176E-01,6.020000E-02,7.600000E-03,6.832700E-03,6.832700E-03,ds/dcth,mb,clas2013
1.985000E+00,7.707483E-01,1.638216E-01,5.700000E-01,-4.084164E-01,6.830000E-02,8.900000E-03,7.752050E-03,7.752050E-03,ds/dcth,mb,clas2013
