W,q,Q,cth,t,ds,stat,syst+,syst-,obs,unit,experiment
1.985000E+00,7.707483E-01,1.638216E-01,3.700000E-01,-4.589225E-01,6.350000E-02,1.140000E-02,7.080250E-03,7.080250E-03,ds/dcth,mb,clas2013
1.985000E+00,7.707483E-01,1.638216E-01,4.200000E-01,-4.462960E-01,7.810000E-02,1.220000E-02,8.708150E-03,8.708150E-03,ds/dcth,mb,clas2013
1.985000E+00,7.707483E-01,1.638216E-01,4.700000E-01,-4.336694E-01,8.120000E-02,1.380000E-02,9.053800E-03,9.053800E-03,ds/dcth,mb,clas2013
1.985000E+00,7.707483E-01,1.638216E-01,5.300000E-01,-4.185176E-01,9.430000E-02,1.420000E-02,1.051445E-02,1.051445E-02,ds/dcth,mb,clas2013
1.985000E+00,7.707483E-01,1.638216E-01,5.700000E-01,-4.084164E-01,7.650000E-02,1.280000E-02,8.529750E-03,8.529750E-03,ds/dcth,mb,clas2013
1.985000E+00,7.707483E-01,1.638216E-01,6.200000E-01,-3.957899E-01,8.190000E-02,1.340000E-02,9.131850E-03,9.131850E-03,ds/dcth,mb,clas2013
1.985000E+00,7.707483E-01,1.638216E-01,6.700000E-01,-3.831633E-01,1.159000E-01,1.800000E-02,1.292285E-02,1.292285E-02,ds/dcth,mb,clas2013
1.985000E+00,7.707483E-01,1.638216E-01,7.200000E-01,-3.705368E-01,9.910000E-02,2.010000E-02,1.104965E-02,1.104965E-02,ds/dcth,mb,clas2013
1.985000E+00,7.707483E-01,1.638216E-01,7.800000E-01,-3.553850E-01,6.620000E-02,2.350000E-02,7.381300E-03,7.381300E-03,ds/dcth,mb,clas2013
1.985000E+00,7.707483E-01,1.638216E-01,8.200000E-01,-3.452838E-01,8.520000E-02,5.470000E-02,9.499800E-03,9.499800E-03,ds/dcth,mb,clas2013
1.985000E+00,7.707483E-01,1.638216E-01,-4.000000E-01,-6.533710E-01,8.850000E-02,2.630000E-02,9.867750E-03,9.867750E-03,ds/dcth,mb,clas2013
1.985000E+00,7.707483E-01,1.638216E-01,-3.000000E-01,-6.281179E-01,8.720000E-02,1.650000E-02,9.722800E-03,9.722800E-03,ds/dcth,mb,clas2013
1.985000E+00,7.707483E-01,1.638216E-01,-2.000000E-01,-6.028649E-01,5.410000E-02,1.030000E-02,6.032150E-03,6.032150E-03,ds/dcth,mb,clas2013
1.985000E+00,7.707483E-01,1.638216E-01,-1.000000E-01,-5.776118E-01,6.870000E-02,1.000000E-02,7.660050E-03,7.660050E-03,ds/dcth,mb,clas2013
1.985000E+00,7.707483E-01,1.638216E-01,0.000000E+00,-5.523588E-01,5.750000E-02,8.300000E-03,6.411250E-03,6.411250E-03,ds/dcth,mb,clas2013
1.985000E+00,7.707483E-01,1.638216E-01,1.000000E-01,-5.271057E-01,8.800000E-02,1.090000E-02,9.812000E-03,9.812000E-03,ds/dcth,mb,clas2013
1.985000E+00,7.707483E-01,1.638216E-01,2.000000E-01,-5.018527E-01,6.300000E-02,8.200000E-03,7.024500E-03,7.024500E-03,ds/dcth,mb,clas2013
1.985000E+00,7.707483E-01,1.638216E-01,3.000000E-01,-4.765996E-01,8.000000E-02,9.200000E-03,8.920000E-03,8.920000E-03,ds/dcth,mb,clas2013
1.995000E+00,7.768598E-01,1.917590E-01,3.700000E-01,-4.621986E-01,8.100000E-02,1.150000E-02,9.031500E-03,9.031500E-03,ds/dcth,mb,clas2013
1.995000E+00,7.768598E-01,1.917590E-01,4.200000E-01,-4.473017E-01,9.470000E-02,1.200000E-02,1.055905E-02,1.055905E-02,ds/dcth,mb,clas2013
1.995000E+00,7.768598E-01,1.917590E-01,4.700000E-01,-4.324047E-01,1.064000E-01,1.330000E-02,1.186360E-02,1.186360E-02,ds/dcth,mb,clas2013
1.995000E+00,7.768598E-01,1.917590E-01,5.300000E-01,-4.145283E-01,1.100000E-01,1.350000E-02,1.226500E-02,1.226500E-02,ds/dcth,mb,clas2013
1.995000E+00,7.768598E-01,1.917590E-01,5.700000E-01,-4.026107E-01,1.194000E-01,1.410000E-02,1.331310E-02,1.331310E-02,ds/dcth,mb,clas2013
1.995000E+00,7.768598E-01,1.917590E-01,6.200000E-01,-3.877137E-01,1.149000E-01,1.370000E-02,1.281135E-02,1.281135E-02,ds/dcth,mb,clas2013
1.995000E+00,7.768598E-01,1.917590E-01,6.700000E-01,-3.728167E-01,1.065000E-01,1.290000E-02,1.187475E-02,1.187475E-02,ds/dcth,mb,clas2013
1.995000E+00,7.768598E-01,1.917590E-01,7.200000E-01,-3.579198E-01,1.138000E-01,1.440000E-02,1.268870E-02,1.268870E-02,ds/dcth,mb,clas2013
1.995000E+00,7.768598E-01,1.917590E-01,7.800000E-01,-3.400434E-01,1.227000E-01,1.620000E-02,1.368105E-02,1.368105E-02,ds/dcth,mb,clas2013
1.995000E+00,7.768598E-01,1.917590E-01,8.200000E-01,-3.281258E-01,1.184000E-01,1.980000E-02,1.320160E-02,1.320160E-02,ds/dcth,mb,clas2013
1.995000E+00,7.768598E-01,1.917590E-01,8.700000E-01,-3.132288E-01,1.532000E-01,5.460000E-02,1.708180E-02,1.708180E-02,ds/dcth,mb,clas2013
1.995000E+00,7.768598E-01,1.917590E-01,-5.000000E-01,-7.214062E-01,4.780000E-02,1.780000E-02,5.329700E-03,5.329700E-03,ds/dcth,mb,clas2013
1.995000E+00,7.768598E-01,1.917590E-01,-4.000000E-01,-6.916122E-01,5.510000E-02,1.120000E-02,6.143650E-03,6.143650E-03,ds/dcth,mb,clas2013
1.995000E+00,7.768598E-01,1.917590E-01,-3.000000E-01,-6.618182E-01,6.220000E-02,9.800000E-03,6.935300E-03,6.935300E-03,ds/dcth,mb,clas2013
1.995000E+00,7.768598E-01,1.917590E-01,-2.000000E-01,-6.320243E-01,5.330000E-02,7.800000E-03,5.942950E-03,5.942950E-03,ds/dcth,mb,clas2013
1.995000E+00,7.768598E-01,1.917590E-01,-1.000000E-01,-6.022303E-01,6.190000E-02,9.500000E-03,6.901850E-03,6.901850E-03,ds/dcth,mb,clas2013
1.995000E+00,7.768598E-01,1.917590E-01,0.000000E+00,-5.724363E-01,8.220000E-02,9.000000E-03,9.165300E-03,9.165300E-03,ds/dcth,mb,clas2013
1.995000E+00,7.768598E-01,1.917590E-01,1.000000E-01,-5.426424E-01,7.050000E-02,8.000000E-03,7.860750E-03,7.860750E-03,ds/dcth,mb,clas2013
1.995000E+00,7.768598E-01,1.917590E-01,2.000000E-01,-5.128484E-01,9.050000E-02,9.300000E-03,1.009075E-02,1.009075E-02,ds/dcth,mb,clas2013
1.995000E+00,7.768598E-01,1.917590E-01,3.000000E-01,-4.830544E-01,9.480000E-02,8.900000E-03,1.057020E-02,1.057020E-02,ds/dcth,mb,clas2013
2.005000E+00,7.829603E-01,2.162307E-01,3.700000E-01,-4.673292E-01,7.240000E-02,9.600000E-03,8.072600E-03,8.072600E-03,ds/dcth,mb,clas2013
2.005000E+00,7.829603E-01,2.162307E-01,4.200000E-01,-4.503992E-01,9.090000E-02,1.040000E-02,1.013535E-02,1.013535E-02,ds/dcth,mb,clas2013
2.005000E+00,7.829603E-01,2.162307E-01,4.700000E-01,-4.334692E-01,9.530000E-02,1.070000E-02,1.062595E-02,1.062595E-02,ds/dcth,mb,clas2013
2.005000E+00,7.829603E-01,2.162307E-01,5.300000E-01,-4.131532E-01,9.420000E-02,1.100000E-02,1.050330E-02,1.050330E-02,ds/dcth,mb,clas2013
2.005000E+00,7.829603E-01,2.162307E-01,5.700000E-01,-3.996092E-01,9.940000E-02,1.120000E-02,1.108310E-02,1.108310E-02,ds/dcth,mb,clas2013
2.005000E+00,7.829603E-01,2.162307E-01,6.200000E-01,-3.826792E-01,1.063000E-01,1.180000E-02,1.185245E-02,1.185245E-02,ds/dcth,mb,clas2013
2.005000E+00,7.829603E-01,2.162307E-01,6.700000E-01,-3.657492E-01,1.320000E-01,1.360000E-02,1.471800E-02,1.471800E-02,ds/dcth,mb,clas2013
2.005000E+00,7.829603E-01,2.162307E-01,7.200000E-01,-3.488192E-01,1.341000E-01,1.400000E-02,1.495215E-02,1.495215E-02,ds/dcth,mb,clas2013
2.005000E+00,7.829603E-01,2.162307E-01,7.800000E-01,-3.285032E-01,1.514000E-01,1.650000E-02,1.688110E-02,1.688110E-02,ds/dcth,mb,clas2013
2.005000E+00,7.829603E-01,2.162307E-01,8.200000E-01,-3.149591E-01,1.727000E-01,1.840000E-02,1.925605E-02,1.925605E-02,ds/dcth,mb,clas2013
2.005000E+00,7.829603E-01,2.162307E-01,8.800000E-01,-2.946431E-01,2.026000E-01,2.710000E-02,2.258990E-02,2.258990E-02,ds/dcth,mb,clas2013
2.005000E+00,7.829603E-01,2.162307E-01,-6.000000E-01,-7.957713E-01,3.810000E-02,1.430000E-02,4.248150E-03,4.248150E-03,ds/dcth,mb,clas2013
2.005000E+00,7.829603E-01,2.162307E-01,-5.000000E-01,-7.619113E-01,3.740000E-02,7.000000E-03,4.170100E-03,4.170100E-03,ds/dcth,mb,clas2013
2.005000E+00,7.829603E-01,2.162307E-01,-4.000000E-01,-7.280513E-01,4.900000E-02,7.500000E-03,5.463500E-03,5.463500E-03,ds/dcth,mb,clas2013
2.005000E+00,7.829603E-01,2.162307E-01,-3.000000E-01,-6.941913E-01,4.650000E-02,6.400000E-03,5.184750E-03,5.184750E-03,ds/dcth,mb,clas2013
2.005000E+00,7.829603E-01,2.162307E-01,-2.000000E-01,-6.603313E-01,5.330000E-02,6.800000E-03,5.942950E-03,5.942950E-03,ds/dcth,mb,clas2013
2.005000E+00,7.829603E-01,2.162307E-01,-1.000000E-01,-6.264712E-01,5.120000E-02,6.400000E-03,5.708800E-03,5.708800E-03,ds/dcth,mb,clas2013
2.005000E+00,7.829603E-01,2.162307E-01,0.000000E+00,-5.926112E-01,6.910000E-02,7.300000E-03,7.704650E-03,7.704650E-03,ds/dcth,mb,clas2013
2.005000E+00,7.829603E-01,2.162307E-01,1.000000E-01,-5.587512E-01,5.730000E-02,6.200000E-03,6.388950E-03,6.388950E-03,ds/dcth,mb,clas2013
2.005000E+00,7.829603E-01,2.162307E-01,2.000000E-01,-5.248912E-01,7.130000E-02,7.000000E-03,7.949950E-03,7.949950E-03,ds/dcth,mb,clas2013
2.005000E+00,7.829603E-01,2.162307E-01,3.000000E-01,-4.910312E-01,7.390000E-02,6.700000E-03,8.239850E-03,8.239850E-03,ds/dcth,mb,clas2013
2.015000E+00,7.890498E-01,2.383069E-01,3.700000E-01,-4.737369E-01,7.980000E-02,1.120000E-02,8.897700E-03,8.897700E-03,ds/dcth,mb,clas2013
2.015000E+00,7.890498E-01,2.383069E-01,4.200000E-01,-4.549333E-01,9.810000E-02,1.170000E-02,1.093815E-02,1.093815E-02,ds/dcth,mb,clas2013
2.015000E+00,7.890498E-01,2.383069E-01,4.700000E-01,-4.361297E-01,1.060000E-01,1.180000E-02,1.181900E-02,1.181900E-02,ds/dcth,mb,clas2013
2.015000E+00,7.890498E-01,2.383069E-01,5.300000E-01,-4.135654E-01,1.019000E-01,1.170000E-02,1.136185E-02,1.136185E-02,ds/dcth,mb,clas2013
2.015000E+00,7.890498E-01,2.383069E-01,5.700000E-01,-3.985225E-01,9.920000E-02,1.150000E-02,1.106080E-02,1.106080E-02,ds/dcth,mb,clas2013
