i,W,q,Q,cth,t,t0,obs,value,stat,syst+,syst-,unit
1,2.015961E+00,7.896344E-01,2.403272E-01,8.587769E-01,-2.888957E-01,-2.352957E-01,ds/dt,5.660000E-01,7.550000E-02,5.660000E-02,-5.660000E-02,mub/GeV2
2,2.015961E+00,7.896344E-01,2.403272E-01,3.413101E-01,-4.852957E-01,-2.352957E-01,ds/dt,3.210000E-01,5.700000E-02,3.210000E-02,-3.210000E-02,mub/GeV2
3,2.015961E+00,7.896344E-01,2.403272E-01,-4.863437E-02,-6.332957E-01,-2.352957E-01,ds/dt,2.000000E-01,3.400000E-02,2.000000E-02,-2.000000E-02,mub/GeV2
4,2.015961E+00,7.896344E-01,2.403272E-01,-6.625334E-01,-8.662957E-01,-2.352957E-01,ds/dt,1.310000E-01,2.350000E-02,1.310000E-02,-1.310000E-02,mub/GeV2
5,2.015961E+00,7.896344E-01,2.403272E-01,6.047860E-01,-3.852957E-01,-2.352957E-01,ds/dt,4.150000E-01,6.300000E-02,4.150000E-02,-4.150000E-02,mub/GeV2
6,2.128434E+00,8.574092E-01,4.172897E-01,9.203439E-01,-1.910989E-01,-1.340989E-01,ds/dt,5.600000E-01,8.300000E-02,5.600000E-02,-5.600000E-02,mub/GeV2
7,2.128434E+00,8.574092E-01,4.172897E-01,7.903786E-01,-2.840989E-01,-1.340989E-01,ds/dt,4.820000E-01,7.150000E-02,4.820000E-02,-4.820000E-02,mub/GeV2
8,2.128434E+00,8.574092E-01,4.172897E-01,6.506311E-01,-3.840989E-01,-1.340989E-01,ds/dt,3.620000E-01,6.200000E-02,3.620000E-02,-3.620000E-02,mub/GeV2
9,2.128434E+00,8.574092E-01,4.172897E-01,4.396122E-01,-5.350989E-01,-1.340989E-01,ds/dt,2.400000E-01,3.550000E-02,2.400000E-02,-2.400000E-02,mub/GeV2
10,2.128434E+00,8.574092E-01,4.172897E-01,9.024332E-02,-7.850989E-01,-1.340989E-01,ds/dt,1.300000E-01,2.150000E-02,1.300000E-02,-1.300000E-02,mub/GeV2
11,2.128434E+00,8.574092E-01,4.172897E-01,-5.581854E-01,-1.249099E+00,-1.340989E-01,ds/dt,7.600000E-02,1.050000E-02,7.600000E-03,-7.600000E-03,mub/GeV2
12,2.235927E+00,9.210977E-01,5.397072E-01,9.145081E-01,-1.764459E-01,-9.144589E-02,ds/dt,5.360000E-01,6.900000E-02,5.360000E-02,-5.360000E-02,mub/GeV2
13,2.235927E+00,9.210977E-01,5.397072E-01,7.747037E-01,-3.154459E-01,-9.144589E-02,ds/dt,4.680000E-01,6.000000E-02,4.680000E-02,-4.680000E-02,mub/GeV2
14,2.235927E+00,9.210977E-01,5.397072E-01,5.976851E-01,-4.914459E-01,-9.144589E-02,ds/dt,3.080000E-01,4.250000E-02,3.080000E-02,-3.080000E-02,mub/GeV2
15,2.235927E+00,9.210977E-01,5.397072E-01,3.462383E-01,-7.414459E-01,-9.144589E-02,ds/dt,1.380000E-01,2.350000E-02,1.380000E-02,-1.380000E-02,mub/GeV2
16,2.235927E+00,9.210977E-01,5.397072E-01,4.450218E-02,-1.041446E+00,-9.144589E-02,ds/dt,6.000000E-02,1.550000E-02,6.000000E-03,-6.000000E-03,mub/GeV2
17,2.235927E+00,9.210977E-01,5.397072E-01,-5.529354E-01,-1.635446E+00,-9.144589E-02,ds/dt,2.900000E-02,5.500000E-03,2.900000E-03,-2.900000E-03,mub/GeV2
18,2.338483E+00,9.810098E-01,6.391083E-01,9.322138E-01,-1.525174E-01,-6.751743E-02,ds/dt,5.550000E-01,7.950000E-02,5.550000E-02,-5.550000E-02,mub/GeV2
19,2.338483E+00,9.810098E-01,6.391083E-01,8.213635E-01,-2.915174E-01,-6.751743E-02,ds/dt,3.100000E-01,5.450000E-02,3.100000E-02,-3.100000E-02,mub/GeV2
20,2.338483E+00,9.810098E-01,6.391083E-01,6.818037E-01,-4.665174E-01,-6.751743E-02,ds/dt,2.490000E-01,4.350000E-02,2.490000E-02,-2.490000E-02,mub/GeV2
21,2.338483E+00,9.810098E-01,6.391083E-01,4.808377E-01,-7.185174E-01,-6.751743E-02,ds/dt,1.600000E-01,2.800000E-02,1.600000E-02,-1.600000E-02,mub/GeV2
22,2.338483E+00,9.810098E-01,6.391083E-01,1.658314E-01,-1.113517E+00,-6.751743E-02,ds/dt,7.500000E-02,1.450000E-02,7.500000E-03,-7.500000E-03,mub/GeV2
23,2.338483E+00,9.810098E-01,6.391083E-01,-5.136253E-01,-1.965517E+00,-6.751743E-02,ds/dt,2.600000E-02,5.000000E-03,2.600000E-03,-2.600000E-03,mub/GeV2
