i,W,q,Q,cth,t,t0,obs,value,stat,syst+,syst-,unit
1,4.102558E+00,1.943985E+00,1.802304E+00,9.994335E-01,-8.000000E-03,-4.030088E-03,ds/dt,2.880000E+00,4.180000E-01,0.000000E+00,-0.000000E+00,mub/GeV2
2,4.102558E+00,1.943985E+00,1.802304E+00,9.747449E-01,-1.810000E-01,-4.030088E-03,ds/dt,9.680000E-01,8.100000E-02,0.000000E+00,-0.000000E+00,mub/GeV2
3,4.102558E+00,1.943985E+00,1.802304E+00,9.497710E-01,-3.560000E-01,-4.030088E-03,ds/dt,3.100000E-01,6.350000E-02,0.000000E+00,-0.000000E+00,mub/GeV2
4,4.102558E+00,1.943985E+00,1.802304E+00,9.273658E-01,-5.130000E-01,-4.030088E-03,ds/dt,1.880000E-01,3.500000E-02,0.000000E+00,-0.000000E+00,mub/GeV2
