i,W,q,Q,cth,t,t0,obs,value,stat,syst+,syst-,unit
1,4.281613E+00,2.038000E+00,1.903569E+00,9.862535E-01,-1.100000E-01,-3.341861E-03,ds/dt,1.500000E+00,3.000000E-01,0.000000E+00,-0.000000E+00,mub/GeV2
2,2.813786E+00,1.250457E+00,1.010111E+00,9.608742E-01,-1.225000E-01,-2.366030E-02,ds/dt,1.220000E+00,2.200000E-01,0.000000E+00,-0.000000E+00,mub/GeV2
3,2.813786E+00,1.250457E+00,1.010111E+00,8.906106E-01,-3.000000E-01,-2.366030E-02,ds/dt,4.400000E-01,1.200000E-01,0.000000E+00,-0.000000E+00,mub/GeV2
4,4.281613E+00,2.038000E+00,1.903569E+00,9.617657E-01,-3.000000E-01,-3.341861E-03,ds/dt,6.800000E-01,1.500000E-01,0.000000E+00,-0.000000E+00,mub/GeV2
5,2.813786E+00,1.250457E+00,1.010111E+00,8.114404E-01,-5.000000E-01,-2.366030E-02,ds/dt,1.700000E-01,1.000000E-01,0.000000E+00,-0.000000E+00,mub/GeV2
6,4.281613E+00,2.038000E+00,1.903569E+00,9.359890E-01,-5.000000E-01,-3.341861E-03,ds/dt,2.300000E-01,1.100000E-01,0.000000E+00,-0.000000E+00,mub/GeV2
7,2.813786E+00,1.250457E+00,1.010111E+00,7.322702E-01,-7.000000E-01,-2.366030E-02,ds/dt,2.400000E-01,1.000000E-01,0.000000E+00,-0.000000E+00,mub/GeV2
8,4.281613E+00,2.038000E+00,1.903569E+00,9.102123E-01,-7.000000E-01,-3.341861E-03,ds/dt,1.500000E-01,1.000000E-01,0.000000E+00,-0.000000E+00,mub/GeV2
9,2.813786E+00,1.250457E+00,1.010111E+00,5.343446E-01,-1.200000E+00,-2.366030E-02,ds/dt,3.000000E-02,2.000000E-02,0.000000E+00,-0.000000E+00,mub/GeV2
10,4.281613E+00,2.038000E+00,1.903569E+00,8.457706E-01,-1.200000E+00,-3.341861E-03,ds/dt,4.000000E-02,3.000000E-02,0.000000E+00,-0.000000E+00,mub/GeV2
