i,W,q,Q,cth,t,t0,obs,value,stat,syst+,syst-,unit
1,1.373080E+01,6.833340E+00,6.795138E+00,9.998926E-01,-1.000000E-02,-2.715482E-05,ds/dt,3.070000E+00,4.600000E-01,2.456000E-01,-2.456000E-01,mub/GeV2
2,1.373080E+01,6.833340E+00,6.795138E+00,9.995696E-01,-4.000000E-02,-2.715482E-05,ds/dt,2.390000E+00,3.200000E-01,1.912000E-01,-1.912000E-01,mub/GeV2
3,1.373080E+01,6.833340E+00,6.795138E+00,9.989235E-01,-1.000000E-01,-2.715482E-05,ds/dt,1.600000E+00,2.300000E-01,1.280000E-01,-1.280000E-01,mub/GeV2
4,1.373080E+01,6.833340E+00,6.795138E+00,9.979544E-01,-1.900000E-01,-2.715482E-05,ds/dt,8.800000E-01,1.100000E-01,7.040000E-02,-7.040000E-02,mub/GeV2
5,1.373080E+01,6.833340E+00,6.795138E+00,9.966622E-01,-3.100000E-01,-2.715482E-05,ds/dt,4.100000E-01,5.000000E-02,3.280000E-02,-3.280000E-02,mub/GeV2
6,1.373080E+01,6.833340E+00,6.795138E+00,9.946162E-01,-5.000000E-01,-2.715482E-05,ds/dt,1.800000E-01,2.000000E-02,1.440000E-02,-1.440000E-02,mub/GeV2
7,1.373080E+01,6.833340E+00,6.795138E+00,9.912781E-01,-8.100000E-01,-2.715482E-05,ds/dt,3.000000E-02,6.000000E-03,2.400000E-03,-2.400000E-03,mub/GeV2
