i,W,q,Q,cth,t,t0,obs,value,stat,syst+,syst-,unit
1,2.152543E+00,8.717799E-01,4.471041E-01,8.551362E-01,-2.350000E-01,-1.220710E-01,ds/dt,5.730000E-01,2.750400E-02,3.896400E-02,-3.896400E-02,mub/GeV2
2,2.152543E+00,8.717799E-01,4.471041E-01,6.935051E-01,-3.610000E-01,-1.220710E-01,ds/dt,3.230000E-01,1.970300E-02,2.519400E-02,-2.519400E-02,mub/GeV2
3,2.152543E+00,8.717799E-01,4.471041E-01,5.703576E-01,-4.570000E-01,-1.220710E-01,ds/dt,2.650000E-01,1.113000E-02,1.696000E-02,-1.696000E-02,mub/GeV2
4,2.152543E+00,8.717799E-01,4.471041E-01,4.767141E-01,-5.300000E-01,-1.220710E-01,ds/dt,1.460000E-01,1.168000E-02,1.357800E-02,-1.357800E-02,mub/GeV2
5,2.152543E+00,8.717799E-01,4.471041E-01,2.214396E-01,-7.290000E-01,-1.220710E-01,ds/dt,8.040000E-02,7.477200E-03,8.442000E-03,-8.442000E-03,mub/GeV2
