i,W,q,Q,cth,t,t0,obs,value,stat,syst+,syst-,unit
1,3.484196E+00,1.615762E+00,1.440695E+00,8.729294E-01,-6.000000E-01,-8.404719E-03,ds/dt,1.220000E-01,1.800000E-02,0.000000E+00,-0.000000E+00,mub/GeV2
2,4.215359E+00,2.003257E+00,1.866239E+00,9.202336E-01,-6.000000E-01,-3.577609E-03,ds/dt,1.260000E-01,1.650000E-02,0.000000E+00,-0.000000E+00,mub/GeV2
3,4.837239E+00,2.327622E+00,2.211373E+00,9.419080E-01,-6.000000E-01,-1.973598E-03,ds/dt,1.250000E-01,1.250000E-02,0.000000E+00,-0.000000E+00,mub/GeV2
4,5.387812E+00,2.612207E+00,2.509487E+00,9.543308E-01,-6.000000E-01,-1.249199E-03,ds/dt,1.240000E-01,1.350000E-02,0.000000E+00,-0.000000E+00,mub/GeV2
5,6.028850E+00,2.941413E+00,2.850809E+00,9.642701E-01,-6.000000E-01,-7.799495E-04,ds/dt,1.290000E-01,1.550000E-02,0.000000E+00,-0.000000E+00,mub/GeV2
6,4.837239E+00,2.327622E+00,2.211373E+00,9.807638E-01,-2.000000E-01,-1.973598E-03,ds/dt,9.360000E-01,1.780000E-01,0.000000E+00,-0.000000E+00,mub/GeV2
7,4.837239E+00,2.327622E+00,2.211373E+00,9.613359E-01,-4.000000E-01,-1.973598E-03,ds/dt,3.100000E-01,4.750000E-02,0.000000E+00,-0.000000E+00,mub/GeV2
8,4.837239E+00,2.327622E+00,2.211373E+00,9.421023E-01,-5.980000E-01,-1.973598E-03,ds/dt,1.240000E-01,1.250000E-02,0.000000E+00,-0.000000E+00,mub/GeV2
9,4.837239E+00,2.327622E+00,2.211373E+00,9.219945E-01,-8.050000E-01,-1.973598E-03,ds/dt,6.220000E-02,8.350000E-03,0.000000E+00,-0.000000E+00,mub/GeV2
10,4.837239E+00,2.327622E+00,2.211373E+00,9.020809E-01,-1.010000E+00,-1.973598E-03,ds/dt,2.190000E-02,4.050000E-03,0.000000E+00,-0.000000E+00,mub/GeV2
