i,W,q,Q,cth,t,t0,obs,value,stat,syst+,syst-,unit
1,9.400000E+01,4.699532E+01,4.698979E+01,9.998954E-01,-4.620000E-01,-1.218268E-08,ds/dt,3.330000E-01,7.000000E-02,1.074988E-01,-6.946224E-02,mub/GeV2
2,9.400000E+01,4.699532E+01,4.698979E+01,9.998578E-01,-6.280000E-01,-1.218268E-08,ds/dt,1.680000E-01,2.700000E-02,5.305695E-02,-3.851026E-02,mub/GeV2
3,9.400000E+01,4.699532E+01,4.698979E+01,9.998055E-01,-8.590000E-01,-1.218268E-08,ds/dt,2.700000E-02,7.000000E-03,1.209969E-02,-9.022333E-03,mub/GeV2
4,9.400000E+01,4.699532E+01,4.698979E+01,9.997244E-01,-1.217000E+00,-1.218268E-08,ds/dt,4.000000E-03,3.000000E-03,4.512206E-03,-2.891366E-03,mub/GeV2
