i,W,q,Q,cth,t,t0,obs,value,stat,syst+,syst-,unit
1,2.653000E+00,1.160583E+00,8.948062E-01,9.957324E-01,-4.113612E-02,-3.227223E-02,ds/dt,1.780000E+00,2.640000E-01,0.000000E+00,-0.000000E+00,mub/GeV2
2,2.987000E+00,1.346136E+00,1.127576E+00,9.946476E-01,-3.375154E-02,-1.750307E-02,ds/dt,1.723000E+00,2.870000E-01,0.000000E+00,-0.000000E+00,mub/GeV2
3,2.653000E+00,1.160583E+00,8.948062E-01,9.794281E-01,-7.500000E-02,-3.227223E-02,ds/dt,1.406000E+00,1.980000E-01,0.000000E+00,-0.000000E+00,mub/GeV2
4,2.987000E+00,1.346136E+00,1.127576E+00,9.810600E-01,-7.500000E-02,-1.750307E-02,ds/dt,1.257000E+00,1.590000E-01,0.000000E+00,-0.000000E+00,mub/GeV2
5,2.653000E+00,1.160583E+00,8.948062E-01,9.553548E-01,-1.250000E-01,-3.227223E-02,ds/dt,1.046000E+00,1.390000E-01,0.000000E+00,-0.000000E+00,mub/GeV2
6,2.987000E+00,1.346136E+00,1.127576E+00,9.645896E-01,-1.250000E-01,-1.750307E-02,ds/dt,8.450000E-01,1.190000E-01,0.000000E+00,-0.000000E+00,mub/GeV2
7,2.653000E+00,1.160583E+00,8.948062E-01,9.312816E-01,-1.750000E-01,-3.227223E-02,ds/dt,9.420000E-01,1.200000E-01,0.000000E+00,-0.000000E+00,mub/GeV2
8,2.987000E+00,1.346136E+00,1.127576E+00,9.481191E-01,-1.750000E-01,-1.750307E-02,ds/dt,7.470000E-01,9.500000E-02,0.000000E+00,-0.000000E+00,mub/GeV2
9,2.653000E+00,1.160583E+00,8.948062E-01,9.072083E-01,-2.250000E-01,-3.227223E-02,ds/dt,6.690000E-01,1.030000E-01,0.000000E+00,-0.000000E+00,mub/GeV2
10,2.987000E+00,1.346136E+00,1.127576E+00,9.316487E-01,-2.250000E-01,-1.750307E-02,ds/dt,5.740000E-01,9.600000E-02,0.000000E+00,-0.000000E+00,mub/GeV2
11,2.653000E+00,1.160583E+00,8.948062E-01,8.831351E-01,-2.750000E-01,-3.227223E-02,ds/dt,3.930000E-01,1.020000E-01,0.000000E+00,-0.000000E+00,mub/GeV2
12,2.987000E+00,1.346136E+00,1.127576E+00,9.151783E-01,-2.750000E-01,-1.750307E-02,ds/dt,3.910000E-01,7.800000E-02,0.000000E+00,-0.000000E+00,mub/GeV2
13,2.653000E+00,1.160583E+00,8.948062E-01,8.590618E-01,-3.250000E-01,-3.227223E-02,ds/dt,5.520000E-01,9.700000E-02,0.000000E+00,-0.000000E+00,mub/GeV2
14,2.987000E+00,1.346136E+00,1.127576E+00,8.987078E-01,-3.250000E-01,-1.750307E-02,ds/dt,3.240000E-01,6.800000E-02,0.000000E+00,-0.000000E+00,mub/GeV2
15,2.653000E+00,1.160583E+00,8.948062E-01,8.349886E-01,-3.750000E-01,-3.227223E-02,ds/dt,6.800000E-01,1.030000E-01,0.000000E+00,-0.000000E+00,mub/GeV2
16,2.987000E+00,1.346136E+00,1.127576E+00,8.822374E-01,-3.750000E-01,-1.750307E-02,ds/dt,4.100000E-01,7.200000E-02,0.000000E+00,-0.000000E+00,mub/GeV2
17,2.653000E+00,1.160583E+00,8.948062E-01,8.109153E-01,-4.250000E-01,-3.227223E-02,ds/dt,4.940000E-01,1.040000E-01,0.000000E+00,-0.000000E+00,mub/GeV2
18,2.987000E+00,1.346136E+00,1.127576E+00,8.657669E-01,-4.250000E-01,-1.750307E-02,ds/dt,3.810000E-01,8.000000E-02,0.000000E+00,-0.000000E+00,mub/GeV2
19,2.653000E+00,1.160583E+00,8.948062E-01,7.868421E-01,-4.750000E-01,-3.227223E-02,ds/dt,3.600000E-01,1.010000E-01,0.000000E+00,-0.000000E+00,mub/GeV2
20,2.987000E+00,1.346136E+00,1.127576E+00,8.492965E-01,-4.750000E-01,-1.750307E-02,ds/dt,2.330000E-01,6.100000E-02,0.000000E+00,-0.000000E+00,mub/GeV2
21,2.653000E+00,1.160583E+00,8.948062E-01,7.507322E-01,-5.500000E-01,-3.227223E-02,ds/dt,4.430000E-01,7.900000E-02,0.000000E+00,-0.000000E+00,mub/GeV2
22,2.987000E+00,1.346136E+00,1.127576E+00,8.245908E-01,-5.500000E-01,-1.750307E-02,ds/dt,1.840000E-01,3.500000E-02,0.000000E+00,-0.000000E+00,mub/GeV2
23,2.653000E+00,1.160583E+00,8.948062E-01,7.025857E-01,-6.500000E-01,-3.227223E-02,ds/dt,1.740000E-01,9.000000E-02,0.000000E+00,-0.000000E+00,mub/GeV2
24,2.987000E+00,1.346136E+00,1.127576E+00,7.916500E-01,-6.500000E-01,-1.750307E-02,ds/dt,1.960000E-01,4.900000E-02,0.000000E+00,-0.000000E+00,mub/GeV2
25,2.653000E+00,1.160583E+00,8.948062E-01,6.544392E-01,-7.500000E-01,-3.227223E-02,ds/dt,1.900000E-02,8.000000E-02,0.000000E+00,-0.000000E+00,mub/GeV2
26,2.987000E+00,1.346136E+00,1.127576E+00,7.587091E-01,-7.500000E-01,-1.750307E-02,ds/dt,1.560000E-01,3.800000E-02,0.000000E+00,-0.000000E+00,mub/GeV2
27,2.653000E+00,1.160583E+00,8.948062E-01,6.062927E-01,-8.500000E-01,-3.227223E-02,ds/dt,1.000000E-02,8.100000E-02,0.000000E+00,-0.000000E+00,mub/GeV2
28,2.987000E+00,1.346136E+00,1.127576E+00,7.257682E-01,-8.500000E-01,-1.750307E-02,ds/dt,6.200000E-02,3.400000E-02,0.000000E+00,-0.000000E+00,mub/GeV2
29,2.653000E+00,1.160583E+00,8.948062E-01,5.581462E-01,-9.500000E-01,-3.227223E-02,ds/dt,1.650000E-01,6.600000E-02,0.000000E+00,-0.000000E+00,mub/GeV2
30,2.987000E+00,1.346136E+00,1.127576E+00,6.928273E-01,-9.500000E-01,-1.750307E-02,ds/dt,1.010000E-01,3.300000E-02,0.000000E+00,-0.000000E+00,mub/GeV2
31,2.653000E+00,1.160583E+00,8.948062E-01,5.099997E-01,-1.050000E+00,-3.227223E-02,ds/dt,1.050000E-01,6.200000E-02,0.000000E+00,-0.000000E+00,mub/GeV2
32,2.987000E+00,1.346136E+00,1.127576E+00,6.598864E-01,-1.050000E+00,-1.750307E-02,ds/dt,1.010000E-01,3.900000E-02,0.000000E+00,-0.000000E+00,mub/GeV2
33,2.653000E+00,1.160583E+00,8.948062E-01,4.618532E-01,-1.150000E+00,-3.227223E-02,ds/dt,2.400000E-02,5.700000E-02,0.000000E+00,-0.000000E+00,mub/GeV2
34,2.987000E+00,1.346136E+00,1.127576E+00,6.269456E-01,-1.150000E+00,-1.750307E-02,ds/dt,5.400000E-02,3.300000E-02,0.000000E+00,-0.000000E+00,mub/GeV2
35,2.653000E+00,1.160583E+00,8.948062E-01,4.137067E-01,-1.250000E+00,-3.227223E-02,ds/dt,5.900000E-02,5.400000E-02,0.000000E+00,-0.000000E+00,mub/GeV2
36,2.987000E+00,1.346136E+00,1.127576E+00,5.940047E-01,-1.250000E+00,-1.750307E-02,ds/dt,5.200000E-02,2.800000E-02,0.000000E+00,-0.000000E+00,mub/GeV2
37,2.653000E+00,1.160583E+00,8.948062E-01,3.655602E-01,-1.350000E+00,-3.227223E-02,ds/dt,3.900000E-02,4.900000E-02,0.000000E+00,-0.000000E+00,mub/GeV2
38,2.987000E+00,1.346136E+00,1.127576E+00,5.610638E-01,-1.350000E+00,-1.750307E-02,ds/dt,1.300000E-02,3.400000E-02,0.000000E+00,-0.000000E+00,mub/GeV2
39,2.653000E+00,1.160583E+00,8.948062E-01,3.174137E-01,-1.450000E+00,-3.227223E-02,ds/dt,-2.400000E-02,5.400000E-02,0.000000E+00,-0.000000E+00,mub/GeV2
40,2.987000E+00,1.346136E+00,1.127576E+00,5.281229E-01,-1.450000E+00,-1.750307E-02,ds/dt,5.000000E-02,3.000000E-02,0.000000E+00,-0.000000E+00,mub/GeV2
41,2.585500E+00,1.122502E+00,8.439940E-01,9.966149E-01,-4.358596E-02,-3.717193E-02,ds/dt,1.533000E+00,3.640000E-01,0.000000E+00,-0.000000E+00,mub/GeV2
42,2.795500E+00,1.240291E+00,9.973423E-01,9.948404E-01,-3.723518E-02,-2.447037E-02,ds/dt,2.081000E+00,3.030000E-01,0.000000E+00,-0.000000E+00,mub/GeV2
43,3.020000E+00,1.364246E+00,1.149335E+00,9.946714E-01,-3.328972E-02,-1.657945E-02,ds/dt,1.669000E+00,3.340000E-01,0.000000E+00,-0.000000E+00,mub/GeV2
44,2.585500E+00,1.122502E+00,8.439940E-01,9.800355E-01,-7.500000E-02,-3.717193E-02,ds/dt,1.374000E+00,2.850000E-01,0.000000E+00,-0.000000E+00,mub/GeV2
45,2.795500E+00,1.240291E+00,9.973423E-01,9.795756E-01,-7.500000E-02,-2.447037E-02,ds/dt,1.232000E+00,2.100000E-01,0.000000E+00,-0.000000E+00,mub/GeV2
46,3.020000E+00,1.364246E+00,1.149335E+00,9.813707E-01,-7.500000E-02,-1.657945E-02,ds/dt,1.375000E+00,1.740000E-01,0.000000E+00,-0.000000E+00,mub/GeV2
47,2.585500E+00,1.122502E+00,8.439940E-01,9.536471E-01,-1.250000E-01,-3.717193E-02,ds/dt,1.116000E+00,1.970000E-01,0.000000E+00,-0.000000E+00,mub/GeV2
48,2.795500E+00,1.240291E+00,9.973423E-01,9.593654E-01,-1.250000E-01,-2.447037E-02,ds/dt,7.410000E-01,1.530000E-01,0.000000E+00,-0.000000E+00,mub/GeV2
49,3.020000E+00,1.364246E+00,1.149335E+00,9.654266E-01,-1.250000E-01,-1.657945E-02,ds/dt,9.720000E-01,1.310000E-01,0.000000E+00,-0.000000E+00,mub/GeV2
50,2.585500E+00,1.122502E+00,8.439940E-01,9.272586E-01,-1.750000E-01,-3.717193E-02,ds/dt,1.035000E+00,1.730000E-01,0.000000E+00,-0.000000E+00,mub/GeV2
