i,W,q,Q,cth,t,t0,obs,value,stat,syst+,syst-,unit
1,7.000000E+01,3.499371E+01,3.498629E+01,9.999408E-01,-1.450000E-01,-3.962577E-08,ds/dt,2.530000E+00,6.000000E-01,2.736613E-01,-2.736613E-01,mub/GeV2
2,7.000000E+01,3.499371E+01,3.498629E+01,9.998999E-01,-2.450000E-01,-3.962577E-08,ds/dt,1.240000E+00,1.900000E-01,1.341265E-01,-1.341265E-01,mub/GeV2
3,7.000000E+01,3.499371E+01,3.498629E+01,9.998591E-01,-3.450000E-01,-3.962577E-08,ds/dt,4.700000E-01,1.300000E-01,5.083827E-02,-5.083827E-02,mub/GeV2
4,7.000000E+01,3.499371E+01,3.498629E+01,9.998183E-01,-4.450000E-01,-3.962577E-08,ds/dt,3.100000E-01,7.000000E-02,3.353163E-02,-3.353163E-02,mub/GeV2
