W,q,Q,cth,t,ds,stat,syst+,syst-,obs,unit,experiment
2.975847E+00,1.340007E+00,1.120182E+00,1.042580E+00,1.100000E-01,9.800000E-01,1.700000E-01,3.920000E-02,3.920000E-02,ds/dt,mb/GeV2,desy094
3.144482E+00,1.432257E+00,1.229943E+00,1.035088E+00,1.100000E-01,1.130000E+00,1.400000E-01,4.520000E-02,4.520000E-02,ds/dt,mb/GeV2,desy094
3.304522E+00,1.519056E+00,1.330685E+00,1.029869E+00,1.100000E-01,1.210000E+00,1.500000E-01,4.840000E-02,4.840000E-02,ds/dt,mb/GeV2,desy094
3.457161E+00,1.601257E+00,1.424324E+00,1.026025E+00,1.100000E-01,1.520000E+00,1.600000E-01,6.080000E-02,6.080000E-02,ds/dt,mb/GeV2,desy094
3.603341E+00,1.679512E+00,1.512177E+00,1.023074E+00,1.100000E-01,1.230000E+00,1.600000E-01,4.920000E-02,4.920000E-02,ds/dt,mb/GeV2,desy094
2.641803E+00,1.154281E+00,8.864897E-01,1.079658E+00,1.300000E-01,8.500000E-01,1.800000E-01,3.400000E-02,3.400000E-02,ds/dt,mb/GeV2,desy094
2.813786E+00,1.250457E+00,1.010111E+00,1.060827E+00,1.300000E-01,8.500000E-01,1.600000E-01,3.400000E-02,3.400000E-02,ds/dt,mb/GeV2,desy094
2.975847E+00,1.340007E+00,1.120182E+00,1.049242E+00,1.300000E-01,9.800000E-01,1.700000E-01,3.920000E-02,3.920000E-02,ds/dt,mb/GeV2,desy094
3.144482E+00,1.432257E+00,1.229943E+00,1.040765E+00,1.300000E-01,1.140000E+00,1.400000E-01,4.560000E-02,4.560000E-02,ds/dt,mb/GeV2,desy094
3.304522E+00,1.519056E+00,1.330685E+00,1.034817E+00,1.300000E-01,1.240000E+00,1.600000E-01,4.960000E-02,4.960000E-02,ds/dt,mb/GeV2,desy094
3.457161E+00,1.601257E+00,1.424324E+00,1.030410E+00,1.300000E-01,1.090000E+00,1.400000E-01,4.360000E-02,4.360000E-02,ds/dt,mb/GeV2,desy094
