i,W,q,Q,cth,t,t0,obs,value,stat,syst+,syst-,unit
1,2.763316E+00,1.222365E+00,9.746711E-01,7.905785E-01,-5.250000E-01,-2.598890E-02,ds/dt,1.718000E-01,1.280000E-02,0.000000E+00,-0.000000E+00,mub/GeV2
2,2.763316E+00,1.222365E+00,9.746711E-01,6.793651E-01,-7.900000E-01,-2.598890E-02,ds/dt,6.611000E-02,6.470000E-03,0.000000E+00,-0.000000E+00,mub/GeV2
3,2.763316E+00,1.222365E+00,9.746711E-01,5.786436E-01,-1.030000E+00,-2.598890E-02,ds/dt,3.306000E-02,3.740000E-03,0.000000E+00,-0.000000E+00,mub/GeV2
4,2.763316E+00,1.222365E+00,9.746711E-01,4.359547E-01,-1.370000E+00,-2.598890E-02,ds/dt,1.231000E-02,1.710000E-03,0.000000E+00,-0.000000E+00,mub/GeV2
5,2.763316E+00,1.222365E+00,9.746711E-01,2.471018E-01,-1.820000E+00,-2.598890E-02,ds/dt,4.130000E-03,7.600000E-04,0.000000E+00,-0.000000E+00,mub/GeV2
6,2.763316E+00,1.222365E+00,9.746711E-01,1.628160E-02,-2.370000E+00,-2.598890E-02,ds/dt,1.200000E-03,3.400000E-04,0.000000E+00,-0.000000E+00,mub/GeV2
7,2.763316E+00,1.222365E+00,9.746711E-01,-2.858830E-01,-3.090000E+00,-2.598890E-02,ds/dt,1.000000E-03,2.000000E-04,0.000000E+00,-0.000000E+00,mub/GeV2
8,2.763316E+00,1.222365E+00,9.746711E-01,-6.048346E-01,-3.850000E+00,-2.598890E-02,ds/dt,1.600000E-03,2.900000E-04,0.000000E+00,-0.000000E+00,mub/GeV2
