i,W,q,Q,cth,t,t0,obs,value,stat,syst+,syst-,unit
1,2.169909E+00,8.820992E-01,4.675958E-01,9.569221E-01,-1.500000E-01,-1.144637E-01,ds/dt,7.180000E-01,5.110000E-01,0.000000E+00,-0.000000E+00,mub/GeV2
2,2.169909E+00,8.820992E-01,4.675958E-01,6.538667E-01,-4.000000E-01,-1.144637E-01,ds/dt,4.000000E-01,1.410000E-01,0.000000E+00,-0.000000E+00,mub/GeV2
3,2.169909E+00,8.820992E-01,4.675958E-01,1.689781E-01,-8.000000E-01,-1.144637E-01,ds/dt,1.290000E-01,7.600000E-02,0.000000E+00,-0.000000E+00,mub/GeV2
4,2.169909E+00,8.820992E-01,4.675958E-01,-4.007660E-01,-1.270000E+00,-1.144637E-01,ds/dt,9.800000E-02,7.000000E-02,0.000000E+00,-0.000000E+00,mub/GeV2
5,2.944149E+00,1.322565E+00,1.099050E+00,9.720710E-01,-1.000000E-01,-1.880673E-02,ds/dt,1.123000E+00,3.180000E-01,0.000000E+00,-0.000000E+00,mub/GeV2
6,2.944149E+00,1.322565E+00,1.099050E+00,8.688764E-01,-4.000000E-01,-1.880673E-02,ds/dt,3.850000E-01,1.200000E-01,0.000000E+00,-0.000000E+00,mub/GeV2
7,2.944149E+00,1.322565E+00,1.099050E+00,7.312837E-01,-8.000000E-01,-1.880673E-02,ds/dt,1.050000E-01,6.000000E-02,0.000000E+00,-0.000000E+00,mub/GeV2
8,2.944149E+00,1.322565E+00,1.099050E+00,5.592927E-01,-1.300000E+00,-1.880673E-02,ds/dt,1.600000E-02,1.600000E-02,0.000000E+00,-0.000000E+00,mub/GeV2
