		0.860			0.900			0.940			0.980			1.020
1.7500	2.0407	0.0649	0.0152	0.0067	0.0187	0.0053	0.0027	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1.8500	2.0861	0.1699	0.0531	0.0258	0.1681	0.0307	0.0285	0.1855	0.0118	0.0391	0.1666	0.0117	0.0585	0.1670	0.0118	0.0617
1.9500	2.1306	0.1294	0.0099	0.0124	0.1405	0.0224	0.0133	0.1427	0.0091	0.0137	0.1591	0.0112	0.0168	0.1567	0.0123	0.0177
2.0500	2.1742	0.0691	0.0195	0.0065	0.0738	0.0107	0.0071	0.0800	0.0208	0.0078	0.0837	0.0095	0.0083	0.0769	0.0087	0.0080
2.1500	2.2170	0.0795	0.0068	0.0078	0.0808	0.0126	0.0086	0.0705	0.0092	0.0075	0.0641	0.0072	0.0073	0.0620	0.0071	0.0074
2.2500	2.2589	0.0775	0.0174	0.0081	0.0740	0.0203	0.0083	0.0726	0.0069	0.0089	0.0718	0.0210	0.0089	0.0664	0.0095	0.0099
2.3500	2.3001	0.0786	0.0280	0.0092	0.0841	0.0130	0.0096	0.0698	0.0325	0.0093	0.0690	0.0153	0.0096	0.0680	0.0097	0.0096
2.4500	2.3405	0.1335	0.0127	0.0118	0.1178	0.0289	0.0109	0.1134	0.0351	0.0112	0.0888	0.0311	0.0109	0.0678	0.0108	0.0095
2.5500	2.3803	0.0799	0.0131	0.0082	0.0790	0.0095	0.0083	0.0747	0.0145	0.0083	0.0698	0.0174	0.0092	0.0658	0.0105	0.0094
2.6500	2.4193	0.0940	0.0076	0.0129	0.0701	0.0053	0.0112	0.0798	0.0060	0.0125	0.0692	0.0053	0.0115	0.0563	0.0067	0.0103
2.7500	2.4578	0.1119	0.0086	0.0183	0.0832	0.0067	0.0145	0.0938	0.0071	0.0165	0.0690	0.0064	0.0133	0.0770	0.0091	0.0147
2.8500	2.4957	0.0815	0.0086	0.0158	0.0661	0.0073	0.0140	0.0644	0.0075	0.0138	0.0733	0.0087	0.0158	0.0464	0.0058	0.0112
2.9500	2.5330	0.0777	0.0083	0.0168	0.0864	0.0092	0.0194	0.0635	0.0069	0.0160	0.0618	0.0072	0.0145	0.0458	0.0059	0.0129
3.0500	2.5698	0.0527	0.0086	0.0138	0.0705	0.0117	0.0187	0.0398	0.0066	0.0121	0.0481	0.0082	0.0136	0.0687	0.0134	0.0197
3.1500	2.6061	0.1142	0.0187	0.0318	0.0564	0.0105	0.0188	0.0836	0.0137	0.0233	0.0509	0.0083	0.0174	0.0499	0.0092	0.0172
3.2500	2.6418	0.0760	0.0112	0.0202	0.0747	0.0118	0.0241	0.0848	0.0125	0.0236	0.0650	0.0096	0.0205	0.0437	0.0100	0.0169
3.3500	2.6771	0.0799	0.0118	0.0248	0.0807	0.0143	0.0260	0.0924	0.0136	0.0287	0.0819	0.0125	0.0281	0.0598	0.0137	0.0237
3.4500	2.7119	0.0831	0.0184	0.0301	0.1055	0.0235	0.0371	0.0951	0.0211	0.0393	0.0852	0.0194	0.0322	0.0674	0.0287	0.0298
3.5500	2.7463	0.1057	0.0233	0.0391	0.0847	0.0187	0.0357	0.0577	0.0127	0.0294	0.0453	0.0100	0.0224	0.0575	0.0258	0.0263
