CLAS physics database search results
Measurement E63M1

Curtis A. Meyer
0

W	cos(theta)	dsigma/dcos(theta)	Data errors
GeV	dimensionless	mcb	mcb
1.985	0.37	0.0637	0.0114
1.985	0.42	0.0781	0.0122
1.985	0.47	0.0813	0.0138
1.985	0.53	0.0943	0.0142
1.985	0.57	0.0765	0.0128
1.985	0.62	0.0822	0.0135
1.985	0.67	0.1164	0.0181
1.985	0.72	0.0999	0.0202
1.985	0.78	0.0663	0.0235
1.985	0.82	0.0834	0.0524
1.985	-0.4	0.0904	0.0269
1.985	-0.3	0.0887	0.0168
1.985	-0.2	0.0545	0.0104
1.985	-0.1	0.0692	0.0101
1.985	0	0.058	0.0084
1.985	0.1	0.0888	0.011
1.985	0.2	0.0635	0.0083
1.985	0.3	0.0805	0.0092
1.995	0.37	0.0809	0.0115
1.995	0.42	0.0946	0.012
1.995	0.47	0.1062	0.0132
1.995	0.53	0.1099	0.0135
1.995	0.57	0.1193	0.0141
1.995	0.62	0.1149	0.0137
1.995	0.67	0.1064	0.0129
1.995	0.72	0.1137	0.0143
1.995	0.78	0.1226	0.0161
1.995	0.82	0.1183	0.0198
1.995	0.87	0.1531	0.0546
1.995	-0.5	0.0471	0.0175
1.995	-0.4	0.0546	0.011
1.995	-0.3	0.0618	0.0097
1.995	-0.2	0.0531	0.0078
1.995	-0.1	0.0617	0.0095
1.995	0	0.082	0.009
1.995	0.1	0.0704	0.008
1.995	0.2	0.0903	0.0093
1.995	0.3	0.0947	0.0089
2.005	0.37	0.0733	0.0096
2.005	0.42	0.0909	0.0105
2.005	0.47	0.0951	0.0106
2.005	0.53	0.0942	0.0109
2.005	0.57	0.0996	0.0112
2.005	0.62	0.1065	0.0118
2.005	0.67	0.1323	0.0137
2.005	0.72	0.1351	0.0142
2.005	0.78	0.1507	0.0159
2.005	0.82	0.1723	0.0181
2.005	0.88	0.1974	0.0258
2.005	-0.6	0.0387	0.014
2.005	-0.5	0.0389	0.0072
2.005	-0.4	0.0499	0.0076
2.005	-0.3	0.0472	0.0065
2.005	-0.2	0.0536	0.0069
2.005	-0.1	0.0514	0.0064
2.005	0	0.0695	0.0073
2.005	0.1	0.0576	0.0062
2.005	0.2	0.0717	0.007
2.005	0.3	0.075	0.0067
2.015	0.37	0.0808	0.0095
2.015	0.42	0.1015	0.0119
2.015	0.47	0.1068	0.0118
2.015	0.53	0.1028	0.0116
2.015	0.57	0.0987	0.0113
2.015	0.62	0.1178	0.0127
2.015	0.67	0.1376	0.0138
2.015	0.72	0.1563	0.016
2.015	0.78	0.15	0.0153
2.015	0.82	0.1842	0.0177
2.015	0.88	0.1981	0.0193
2.015	0.92	0.191	0.0663
2.015	-0.67	0.0661	0.0485
2.015	-0.6	0.0499	0.0101
2.015	-0.5	0.0525	0.0087
2.015	-0.4	0.0521	0.0082
2.015	-0.3	0.0556	0.0074
2.015	-0.2	0.0539	0.0072
2.015	-0.1	0.0562	0.0068
2.015	0	0.0628	0.0069
2.015	0.1	0.066	0.0068
2.015	0.2	0.0814	0.0072
2.015	0.3	0.0806	0.0072
2.025	0.37	0.0875	0.0105
2.025	0.42	0.08	0.0097
2.025	0.47	0.1009	0.0108
2.025	0.53	0.1004	0.0104
2.025	0.57	0.1073	0.011
2.025	0.62	0.1334	0.0129
2.025	0.67	0.1391	0.0131
2.025	0.72	0.1367	0.013
2.025	0.78	0.1813	0.0167
2.025	0.82	0.1642	0.0165
2.025	0.88	0.1977	0.0196
2.025	-0.68	0.072	0.0356
2.025	-0.6	0.0478	0.0085
2.025	-0.5	0.0469	0.0077
2.025	-0.4	0.0543	0.008
2.025	-0.3	0.0467	0.0066
2.025	-0.2	0.0563	0.0074
2.025	-0.1	0.0595	0.0073
2.025	0	0.06	0.0068
2.025	0.1	0.0595	0.0064
2.025	0.2	0.0656	0.0067
2.025	0.3	0.0762	0.0069
2.035	0.37	0.1064	0.0114
2.035	0.42	0.0991	0.0109
2.035	0.47	0.1112	0.012
2.035	0.53	0.1111	0.0117
2.035	0.57	0.13	0.0125
2.035	0.62	0.137	0.0126
2.035	0.67	0.1352	0.0134
2.035	0.72	0.1525	0.0145
2.035	0.78	0.1888	0.0164
2.035	0.82	0.2415	0.0202
2.035	0.88	0.2276	0.0208
2.035	0.93	0.2672	0.0282
2.035	-0.69	0.0611	0.0176
2.035	-0.6	0.0603	0.009
2.035	-0.5	0.0582	0.0082
2.035	-0.4	0.0551	0.0073
2.035	-0.3	0.0645	0.0081
2.035	-0.2	0.0671	0.0079
2.035	-0.1	0.0592	0.0074
2.035	0	0.0601	0.0069
2.035	0.1	0.0704	0.0072
2.035	0.2	0.0788	0.0074
2.035	0.3	0.0869	0.0076
2.045	0.37	0.0881	0.0115
2.045	0.42	0.0978	0.0116
2.045	0.47	0.1024	0.0109
2.045	0.53	0.1232	0.0127
2.045	0.57	0.1318	0.0129
2.045	0.62	0.1479	0.0141
2.045	0.67	0.1642	0.0145
2.045	0.72	0.1894	0.0168
2.045	0.78	0.1979	0.0182
2.045	0.82	0.1992	0.0191
2.045	0.88	0.25	0.0244
2.045	0.93	0.2596	0.0264
2.045	-0.6	0.0574	0.0096
2.045	-0.5	0.0622	0.0089
2.045	-0.4	0.0587	0.0081
2.045	-0.3	0.0618	0.0086
2.045	-0.2	0.0628	0.0084
2.045	-0.1	0.0602	0.0084
2.045	0	0.0584	0.0074
2.045	0.1	0.057	0.007
2.045	0.2	0.0677	0.0073
2.045	0.3	0.0794	0.0076
2.055	0.37	0.1023	0.0113
2.055	0.42	0.1081	0.0113
2.055	0.47	0.1104	0.011
2.055	0.53	0.128	0.0122
2.055	0.57	0.1378	0.0133
2.055	0.62	0.145	0.0133
2.055	0.67	0.1763	0.0162
2.055	0.72	0.1965	0.0179
2.055	0.78	0.2375	0.0199
2.055	0.82	0.2098	0.0193
2.055	0.88	0.3096	0.0245
2.055	0.93	0.2869	0.0285
2.055	-0.6	0.0602	0.0087
2.055	-0.5	0.0599	0.0082
2.055	-0.4	0.0604	0.0081
2.055	-0.3	0.0613	0.0082
2.055	-0.2	0.0551	0.0074
2.055	-0.1	0.0667	0.0082
2.055	0	0.0602	0.0072
2.055	0.1	0.0683	0.0072
2.055	0.2	0.0773	0.0074
2.055	0.3	0.0916	0.008
2.065	0.37	0.1039	0.0115
2.065	0.42	0.1237	0.0126
2.065	0.47	0.1307	0.013
2.065	0.53	0.1405	0.0133
2.065	0.57	0.1474	0.0139
2.065	0.62	0.15	0.014
2.065	0.67	0.1732	0.0164
2.065	0.72	0.2059	0.0186
2.065	0.78	0.2386	0.0199
2.065	0.82	0.2712	0.0221
2.065	0.88	0.3177	0.0253
2.065	0.93	0.3459	0.0317
2.065	-0.77	0.0502	0.1491
2.065	-0.7	0.0638	0.0102
2.065	-0.6	0.053	0.0084
2.065	-0.5	0.0545	0.008
2.065	-0.4	0.0624	0.0084
