CLAS physics database search results
Measurement E63M2

Curtis A. Meyer
0

W	cos(theta)	dsigma/dcos(theta)	Data errors
GeV	dimensionless	mcb	mcb
2.305	0.88	0.8029	0.0541
2.305	0.92	0.5854	0.0731
2.305	-0.8	0.0281	0.0084
2.305	-0.7	0.0273	0.0052
2.305	-0.6	0.033	0.005
2.305	-0.5	0.0303	0.0045
2.305	-0.4	0.0294	0.0042
2.305	-0.3	0.0329	0.0043
2.305	-0.2	0.0319	0.0038
2.305	-0.1	0.0389	0.0041
2.305	0	0.0402	0.0039
2.305	0.1	0.0467	0.0041
2.305	0.2	0.0698	0.0052
2.305	0.3	0.0979	0.006
2.315	0.37	0.0977	0.009
2.315	0.42	0.1163	0.0101
2.315	0.47	0.1405	0.0116
2.315	0.53	0.1809	0.0142
2.315	0.57	0.1968	0.0159
2.315	0.62	0.2328	0.0189
2.315	0.67	0.3137	0.0229
2.315	0.72	0.3867	0.0283
2.315	0.78	0.444	0.0338
2.315	0.82	0.4995	0.0358
2.315	0.88	0.691	0.0494
2.315	0.92	0.5335	0.0567
2.315	-0.8	0.0359	0.0084
2.315	-0.7	0.0263	0.0053
2.315	-0.6	0.0317	0.0051
2.315	-0.5	0.0418	0.0057
2.315	-0.4	0.039	0.0049
2.315	-0.3	0.0368	0.0044
2.315	-0.2	0.0349	0.0041
2.315	-0.1	0.0286	0.0035
2.315	0	0.0333	0.0035
2.315	0.1	0.0399	0.0038
2.315	0.2	0.0601	0.0047
2.315	0.3	0.0804	0.0057
2.325	0.37	0.1081	0.0097
2.325	0.42	0.1533	0.0117
2.325	0.47	0.1553	0.0121
2.325	0.53	0.208	0.0156
2.325	0.57	0.2273	0.0185
2.325	0.62	0.2758	0.0218
2.325	0.67	0.3252	0.0237
2.325	0.72	0.4157	0.0291
2.325	0.78	0.4905	0.0341
2.325	0.82	0.569	0.0396
2.325	0.88	0.753	0.0546
2.325	0.93	0.626	0.205
2.325	-0.8	0.0257	0.0071
2.325	-0.7	0.0324	0.0059
2.325	-0.6	0.0318	0.005
2.325	-0.5	0.0277	0.0045
2.325	-0.4	0.0431	0.0053
2.325	-0.3	0.0297	0.004
2.325	-0.2	0.0242	0.0034
2.325	-0.1	0.0276	0.0034
2.325	0	0.0343	0.0037
2.325	0.1	0.0396	0.0038
2.325	0.2	0.058	0.0048
2.325	0.3	0.0825	0.0056
2.335	0.37	0.1133	0.0102
2.335	0.42	0.1443	0.0123
2.335	0.47	0.167	0.0133
2.335	0.53	0.1971	0.0155
2.335	0.57	0.2315	0.0187
2.335	0.62	0.2346	0.0194
2.335	0.67	0.3534	0.0251
2.335	0.72	0.3776	0.0274
2.335	0.78	0.5265	0.0375
2.335	0.82	0.6225	0.0418
2.335	0.88	0.7979	0.0581
2.335	0.92	0.797	0.1532
2.335	-0.8	0.0328	0.0095
2.335	-0.7	0.026	0.0061
2.335	-0.6	0.0295	0.0052
2.335	-0.5	0.0417	0.006
2.335	-0.4	0.0313	0.0047
2.335	-0.3	0.0253	0.0037
2.335	-0.2	0.0303	0.004
2.335	-0.1	0.0296	0.0036
2.335	0	0.0321	0.0035
2.335	0.1	0.0418	0.0039
2.335	0.2	0.0556	0.0047
2.335	0.3	0.0843	0.0058
2.345	0.37	0.1008	0.0095
2.345	0.42	0.1235	0.0112
2.345	0.47	0.1532	0.0129
2.345	0.53	0.1841	0.0156
2.345	0.57	0.2288	0.0191
2.345	0.62	0.2708	0.0225
2.345	0.67	0.315	0.0245
2.345	0.72	0.376	0.0276
2.345	0.78	0.4956	0.035
2.345	0.82	0.6376	0.0444
2.345	0.88	0.7465	0.0543
2.345	0.92	0.6923	0.0999
2.345	-0.8	0.0479	0.0112
2.345	-0.7	0.0315	0.0063
2.345	-0.6	0.0219	0.0046
2.345	-0.5	0.025	0.0044
2.345	-0.4	0.0264	0.0042
2.345	-0.3	0.0234	0.0035
2.345	-0.2	0.0289	0.0037
2.345	-0.1	0.0276	0.0035
2.345	0	0.036	0.0039
2.345	0.1	0.0375	0.0039
2.345	0.2	0.0652	0.0053
2.345	0.3	0.0817	0.0058
2.355	0.37	0.1127	0.0102
2.355	0.42	0.1389	0.0117
2.355	0.47	0.1969	0.0155
2.355	0.53	0.1905	0.0156
2.355	0.57	0.247	0.0203
2.355	0.62	0.3261	0.0251
2.355	0.67	0.3617	0.026
2.355	0.72	0.4427	0.0322
2.355	0.78	0.5031	0.0379
2.355	0.82	0.6527	0.0475
2.355	0.88	0.8481	0.0658
2.355	0.92	0.9429	0.1744
2.355	-0.8	0.0199	0.0064
2.355	-0.7	0.036	0.0065
2.355	-0.6	0.03	0.0051
2.355	-0.5	0.0282	0.0047
2.355	-0.4	0.0283	0.0044
2.355	-0.3	0.0359	0.0046
2.355	-0.2	0.0254	0.0034
2.355	-0.1	0.0299	0.0036
2.355	0	0.035	0.0038
2.355	0.1	0.0405	0.0039
2.355	0.2	0.0611	0.0059
2.355	0.3	0.0896	0.0062
2.365	0.37	0.1156	0.0112
2.365	0.42	0.1369	0.0122
2.365	0.47	0.1653	0.0138
2.365	0.53	0.2103	0.018
2.365	0.57	0.2251	0.0193
2.365	0.62	0.2971	0.0229
2.365	0.67	0.3622	0.0281
2.365	0.72	0.5124	0.0365
2.365	0.78	0.5622	0.0416
2.365	0.82	0.6838	0.0508
2.365	0.88	0.9225	0.0698
2.365	0.92	0.8274	0.1103
2.365	-0.78	0.0219	0.0083
2.365	-0.7	0.0209	0.0054
2.365	-0.6	0.0251	0.005
2.365	-0.5	0.0283	0.0051
2.365	-0.4	0.0246	0.0043
2.365	-0.3	0.0255	0.004
2.365	-0.2	0.023	0.0035
2.365	-0.1	0.0257	0.0034
2.365	0	0.0311	0.0037
2.365	0.1	0.0414	0.0041
2.365	0.2	0.0546	0.0051
2.365	0.3	0.0936	0.0068
2.375	0.37	0.1047	0.0102
2.375	0.42	0.1315	0.0118
2.375	0.47	0.1801	0.0147
2.375	0.53	0.1797	0.0146
2.375	0.57	0.2309	0.0197
2.375	0.62	0.2815	0.0215
2.375	0.67	0.3546	0.0285
2.375	0.72	0.3921	0.031
2.375	0.78	0.5002	0.0387
2.375	0.82	0.6196	0.0484
2.375	0.88	0.6865	0.0517
2.375	0.92	0.7208	0.0805
2.375	-0.79	0.0216	0.0076
2.375	-0.7	0.0179	0.0047
2.375	-0.6	0.0272	0.005
2.375	-0.5	0.0259	0.0046
2.375	-0.4	0.0213	0.0039
2.375	-0.3	0.029	0.0041
2.375	-0.2	0.0209	0.0031
2.375	-0.1	0.0228	0.0031
2.375	0	0.0284	0.0035
2.375	0.1	0.0391	0.0039
2.375	0.2	0.0617	0.0052
2.375	0.3	0.083	0.0061
2.385	0.37	0.1113	0.0107
2.385	0.42	0.1298	0.0119
2.385	0.47	0.1345	0.0131
2.385	0.53	0.1584	0.0153
2.385	0.57	0.2105	0.0191
2.385	0.62	0.2274	0.0195
2.385	0.67	0.2922	0.0238
2.385	0.72	0.3547	0.0303
2.385	0.78	0.4429	0.039
2.385	0.82	0.5697	0.0469
2.385	0.88	0.727	0.0607
2.385	0.92	0.9876	0.1172
2.385	-0.8	0.0169	0.0116
2.385	-0.7	0.023	0.0055
2.385	-0.6	0.0232	0.0048
2.385	-0.5	0.0238	0.0047
2.385	-0.4	0.0154	0.0033
2.385	-0.3	0.0268	0.004
2.385	-0.2	0.0264	0.0038
2.385	-0.1	0.024	0.0033
2.385	0	0.0285	0.0036
2.385	0.1	0.0381	0.004
2.385	0.2	0.0519	0.0049
2.385	0.3	0.0751	0.0059
2.395	0.37	0.0918	0.01
2.395	0.42	0.113	0.0115
2.395	0.47	0.1533	0.0151
2.395	0.53	0.1555	0.0157
2.395	0.57	0.2013	0.0186
2.395	0.62	0.2367	0.0213
2.395	0.67	0.3336	0.0283
2.395	0.72	0.4117	0.0323
2.395	0.78	0.4792	0.0381
2.395	0.82	0.5858	0.0449
2.395	0.88	0.7629	0.0597
2.395	0.92	0.7967	0.175
2.395	-0.8	0.0239	0.0171
2.395	-0.7	0.012	0.0042
2.395	-0.6	0.0188	0.0046
2.395	-0.5	0.0177	0.0042
2.395	-0.4	0.0159	0.0037
2.395	-0.3	0.0206	0.0038
2.395	-0.2	0.0256	0.0039
2.395	-0.1	0.0295	0.0039
2.395	0	0.0316	0.0039
2.395	0.1	0.0408	0.0043
2.395	0.2	0.0498	0.0049
2.395	0.3	0.073	0.006
2.405	0.37	0.0956	0.0108
2.405	0.42	0.108	0.0118
2.405	0.47	0.1316	0.0144
2.405	0.53	0.1603	0.0184
2.405	0.57	0.2099	0.0212
2.405	0.62	0.2809	0.0254
2.405	0.67	0.2777	0.0255
2.405	0.72	0.4233	0.0343
2.405	0.78	0.4894	0.042
2.405	0.82	0.5962	0.0496
2.405	0.88	0.7641	0.0621
2.405	0.92	0.984	0.1148
2.405	-0.8	0.0139	0.007
2.405	-0.7	0.0164	0.0059
2.405	-0.6	0.0194	0.0048
2.405	-0.5	0.0214	0.0049
2.405	-0.4	0.0152	0.0038
2.405	-0.3	0.0172	0.0034
2.405	-0.2	0.0183	0.0034
2.405	-0.1	0.0243	0.0037
2.405	0	0.0215	0.0034
2.405	0.1	0.0347	0.0042
2.405	0.2	0.0522	0.0055
2.405	0.3	0.0794	0.0067
2.415	0.37	0.1034	0.0111
2.415	0.42	0.1072	0.0111
2.415	0.47	0.1331	0.0133
2.415	0.53	0.1383	0.0153
2.415	0.57	0.1885	0.0194
2.415	0.62	0.2426	0.0219
2.415	0.67	0.2912	0.0269
2.415	0.72	0.352	0.0328
2.415	0.78	0.4586	0.0392
2.415	0.82	0.5477	0.0486
2.415	0.88	0.7944	0.0608
2.415	0.92	0.7977	0.0921
2.415	-0.8	0.0129	0.0095
2.415	-0.7	0.01	0.0036
2.415	-0.6	0.0147	0.0039
2.415	-0.5	0.0179	0.0043
2.415	-0.4	0.0169	0.0038
2.415	-0.3	0.02	0.0038
2.415	-0.2	0.0135	0.0027
2.415	-0.1	0.0231	0.0034
2.415	0	0.0344	0.0041
2.415	0.1	0.0348	0.004
2.415	0.2	0.0603	0.0056
2.415	0.3	0.0713	0.0062
2.425	0.37	0.0951	0.0099
2.425	0.42	0.1244	0.0122
2.425	0.47	0.1489	0.014
2.425	0.53	0.1832	0.0173
2.425	0.57	0.2268	0.0204
2.425	0.62	0.2876	0.0236
2.425	0.67	0.2961	0.0247
2.425	0.72	0.4236	0.0338
2.425	0.78	0.4442	0.0393
2.425	0.82	0.6156	0.0491
2.425	0.88	0.9275	0.0684
2.425	0.92	0.9201	0.1687
2.425	-0.79	0.0141	0.0058
2.425	-0.69	0.0134	0.0047
2.425	-0.6	0.0138	0.0037
2.425	-0.5	0.0183	0.0041
2.425	-0.4	0.0249	0.0047
2.425	-0.3	0.0233	0.0038
2.425	-0.2	0.0297	0.0041
2.425	-0.1	0.0228	0.0033
2.425	0	0.0251	0.0034
2.425	0.1	0.0338	0.0037
2.425	0.2	0.0534	0.0051
2.425	0.3	0.0859	0.0065
2.435	0.37	0.0978	0.0107
2.435	0.42	0.1254	0.0125
2.435	0.47	0.1282	0.0132
2.435	0.53	0.1721	0.0178
2.435	0.57	0.204	0.0207
2.435	0.62	0.2348	0.0212
2.435	0.67	0.2883	0.0261
2.435	0.72	0.3318	0.0312
2.435	0.78	0.4944	0.0437
2.435	0.82	0.6495	0.053
2.435	0.88	0.8417	0.0649
2.435	0.92	0.9575	0.1516
2.435	-0.79	0.0141	0.0057
2.435	-0.7	0.0127	0.004
2.435	-0.6	0.0142	0.0038
2.435	-0.51	0.0177	0.0044
2.435	-0.4	0.0155	0.0037
2.435	-0.3	0.0231	0.004
2.435	-0.2	0.0184	0.0032
2.435	-0.1	0.0207	0.0032
2.435	0	0.0317	0.004
2.435	0.1	0.0333	0.0039
2.435	0.2	0.0568	0.0054
2.435	0.3	0.0761	0.0066
2.445	0.37	0.1004	0.0107
2.445	0.42	0.1254	0.0123
2.445	0.47	0.127	0.0136
2.445	0.53	0.165	0.0171
2.445	0.57	0.2068	0.0202
2.445	0.62	0.2459	0.0228
2.445	0.67	0.2757	0.0251
2.445	0.72	0.3846	0.0341
2.445	0.78	0.4812	0.0444
2.445	0.82	0.6741	0.0571
2.445	0.88	1.0356	0.0729
2.445	0.92	1.0338	0.1373
2.445	-0.8	0.0181	0.007
2.445	-0.7	0.0105	0.0033
2.445	-0.6	0.0106	0.0028
2.445	-0.5	0.0098	0.0028
2.445	-0.4	0.0157	0.0036
2.445	-0.3	0.0184	0.0035
2.445	-0.2	0.0161	0.003
2.445	-0.1	0.0241	0.0036
2.445	0	0.0305	0.0037
2.445	0.1	0.0376	0.0042
2.445	0.2	0.0536	0.0053
2.445	0.3	0.0736	0.0063
2.455	0.37	0.0912	0.0102
2.455	0.42	0.1149	0.0118
2.455	0.47	0.1264	0.0132
2.455	0.53	0.1537	0.0158
2.455	0.57	0.1705	0.0177
2.455	0.62	0.2147	0.0202
2.455	0.67	0.2534	0.0246
2.455	0.72	0.3506	0.0326
2.455	0.78	0.4701	0.0411
2.455	0.82	0.6692	0.052
2.455	0.88	0.8708	0.0607
2.455	0.92	1.1477	0.1347
2.455	-0.8	0.014	0.0077
2.455	-0.7	0.0095	0.0028
2.455	-0.6	0.0079	0.0023
2.455	-0.5	0.0089	0.0025
2.455	-0.4	0.0126	0.0033
2.455	-0.3	0.0158	0.0031
2.455	-0.2	0.0166	0.0031
2.455	-0.1	0.0178	0.003
2.455	0	0.0235	0.0033
2.455	0.1	0.0356	0.004
2.455	0.2	0.0505	0.0051
2.455	0.3	0.0748	0.0063
2.465	0.37	0.0846	0.0101
2.465	0.42	0.1026	0.0113
2.465	0.47	0.1249	0.0138
2.465	0.53	0.1194	0.0145
2.465	0.57	0.1887	0.0197
2.465	0.62	0.2207	0.0207
2.465	0.67	0.2962	0.0272
2.465	0.72	0.3625	0.0326
2.465	0.78	0.4772	0.0417
2.465	0.82	0.715	0.0554
2.465	0.88	0.9658	0.0728
2.465	0.92	1.0526	0.1152
2.465	-0.8	0.0137	0.006
2.465	-0.7	0.01	0.0038
2.465	-0.6	0.0123	0.0035
2.465	-0.5	0.0131	0.004
2.465	-0.4	0.0159	0.004
2.465	-0.3	0.0137	0.0032
2.465	-0.2	0.019	0.0037
2.465	-0.1	0.0238	0.0038
2.465	0	0.0248	0.0037
2.465	0.1	0.0329	0.0042
2.465	0.2	0.057	0.0059
2.465	0.3	0.0757	0.0065
2.475	0.37	0.0681	0.0086
2.475	0.42	0.0969	0.0115
2.475	0.47	0.0839	0.0107
2.475	0.53	0.1265	0.0147
2.475	0.57	0.1759	0.0191
2.475	0.62	0.2398	0.0235
2.475	0.67	0.2433	0.0242
2.475	0.72	0.4186	0.0349
2.475	0.78	0.5327	0.0444
2.475	0.82	0.6203	0.05
2.475	0.88	0.8621	0.066
2.475	0.92	1.289	0.1643
2.475	-0.79	0.0124	0.0061
2.475	-0.69	0.013	0.0044
2.475	-0.6	0.012	0.0034
2.475	-0.5	0.0063	0.0026
2.475	-0.4	0.0113	0.0033
2.475	-0.3	0.0128	0.003
2.475	-0.2	0.0146	0.0031
2.475	-0.1	0.018	0.0032
2.475	0	0.0185	0.003
2.475	0.1	0.0365	0.0044
2.475	0.2	0.0482	0.0054
2.475	0.3	0.0654	0.0059
2.485	0.37	0.0769	0.0097
2.485	0.42	0.1173	0.0119
2.485	0.47	0.1205	0.0128
2.485	0.53	0.1623	0.0166
2.485	0.57	0.1658	0.0173
2.485	0.62	0.2038	0.0198
2.485	0.67	0.3044	0.0276
2.485	0.72	0.3297	0.0325
2.485	0.78	0.4822	0.0422
2.485	0.82	0.5955	0.0482
2.485	0.88	1.0374	0.0744
2.485	0.92	1.1312	0.117
2.485	-0.8	0.0108	0.0121
2.485	-0.7	0.0069	0.0031
2.485	-0.6	0.0056	0.0021
2.485	-0.5	0.0071	0.0024
2.485	-0.4	0.0095	0.0029
2.485	-0.3	0.0108	0.0026
2.485	-0.2	0.0168	0.0032
2.485	-0.1	0.018	0.003
2.485	0	0.0193	0.0029
2.485	0.1	0.0321	0.0039
2.485	0.2	0.0522	0.0052
2.485	0.3	0.0652	0.0058
2.495	0.37	0.0772	0.0094
2.495	0.42	0.1011	0.0111
2.495	0.47	0.1018	0.0118
2.495	0.53	0.1267	0.0142
2.495	0.57	0.1847	0.0183
2.495	0.62	0.2192	0.0209
2.495	0.67	0.301	0.0287
2.495	0.72	0.39	0.0365
2.495	0.78	0.5007	0.0454
2.495	0.82	0.6758	0.0512
2.495	0.88	0.9348	0.0707
2.495	0.92	1.0514	0.1291
2.495	-0.79	0.009	0.0051
2.495	-0.7	0.0052	0.0027
2.495	-0.59	0.0095	0.0033
2.495	-0.5	0.007	0.0028
2.495	-0.4	0.0093	0.0029
2.495	-0.3	0.0071	0.0022
2.495	-0.2	0.0146	0.003
2.495	-0.1	0.0132	0.0025
2.495	0	0.0175	0.0029
2.495	0.1	0.02	0.003
2.495	0.2	0.0419	0.0048
2.495	0.3	0.0542	0.0053
2.505	0.37	0.0751	0.0089
2.505	0.42	0.0834	0.0099
2.505	0.47	0.0915	0.0114
2.505	0.53	0.1139	0.0134
2.505	0.57	0.1833	0.018
2.505	0.62	0.2088	0.0201
2.505	0.67	0.2522	0.0244
2.505	0.72	0.3935	0.0348
2.505	0.78	0.5657	0.0485
2.505	0.82	0.7195	0.0606
2.505	0.88	0.8581	0.0646
2.505	0.92	1.1242	0.1246
2.505	-0.8	0.0076	0.0045
2.505	-0.7	0.0061	0.003
2.505	-0.59	0.007	0.0027
2.505	-0.5	0.0064	0.0024
2.505	-0.4	0.013	0.0033
2.505	-0.3	0.0121	0.003
2.505	-0.2	0.0189	0.0034
2.505	-0.1	0.0186	0.0032
2.505	0	0.0229	0.0034
2.505	0.1	0.0293	0.0038
2.505	0.2	0.0445	0.0047
2.505	0.3	0.0516	0.0049
2.515	0.37	0.0743	0.0092
2.515	0.42	0.0845	0.01
2.515	0.47	0.0874	0.0111
2.515	0.53	0.1465	0.016
2.515	0.57	0.1753	0.0178
2.515	0.62	0.2478	0.0232
2.515	0.67	0.2649	0.025
2.515	0.72	0.3751	0.0378
2.515	0.78	0.4832	0.0426
2.515	0.82	0.6524	0.0504
2.515	0.88	0.9185	0.0699
2.515	0.92	1.2515	0.1249
2.515	-0.8	0.0052	0.0044
2.515	-0.7	0.0069	0.0029
2.515	-0.6	0.0046	0.0018
2.515	-0.5	0.0083	0.0024
2.515	-0.4	0.0075	0.0024
2.515	-0.3	0.0098	0.0025
2.515	-0.2	0.0106	0.0025
2.515	-0.1	0.0114	0.0025
2.515	0	0.0162	0.0028
2.515	0.1	0.0263	0.0035
2.515	0.2	0.035	0.0042
2.515	0.3	0.0528	0.0052
2.525	0.37	0.0691	0.009
2.525	0.42	0.0786	0.0108
2.525	0.47	0.0963	0.0125
2.525	0.53	0.1374	0.0167
2.525	0.57	0.1682	0.0189
2.525	0.62	0.2289	0.0246
2.525	0.67	0.2885	0.0304
2.525	0.72	0.3653	0.0377
2.525	0.78	0.5751	0.0491
2.525	0.82	0.75	0.0573
2.525	0.88	0.9498	0.0685
2.525	0.92	1.1449	0.1247
2.525	-0.79	0.0179	0.0086
2.525	-0.7	0.0056	0.003
2.525	-0.6	0.0095	0.0034
2.525	-0.5	0.0067	0.0027
2.525	-0.4	0.0108	0.0031
2.525	-0.3	0.0146	0.0032
2.525	-0.2	0.0114	0.0027
2.525	-0.1	0.015	0.0028
2.525	0	0.0157	0.0028
2.525	0.1	0.0246	0.0035
2.525	0.2	0.0369	0.0046
2.525	0.3	0.05	0.0052
2.535	0.37	0.0774	0.0095
2.535	0.42	0.0971	0.0109
2.535	0.47	0.1141	0.0131
2.535	0.53	0.1289	0.0148
2.535	0.57	0.1752	0.0182
2.535	0.62	0.2219	0.0219
2.535	0.67	0.2764	0.0275
2.535	0.72	0.4046	0.0355
2.535	0.78	0.5671	0.0474
2.535	0.82	0.6606	0.0504
2.535	0.88	0.9973	0.07
2.535	0.92	1.3883	0.1199
2.535	-0.8	0.0079	0.0053
2.535	-0.7	0.0064	0.0025
2.535	-0.6	0.0047	0.0021
2.535	-0.5	0.0044	0.0018
2.535	-0.4	0.0115	0.0033
2.535	-0.3	0.0076	0.0021
2.535	-0.2	0.0121	0.0026
2.535	-0.1	0.0159	0.0028
2.535	0	0.0163	0.0027
2.535	0.1	0.0231	0.0032
2.535	0.2	0.0316	0.0038
2.535	0.3	0.0564	0.0053
2.545	0.37	0.0797	0.0096
2.545	0.42	0.093	0.0108
2.545	0.47	0.1045	0.013
2.545	0.53	0.1408	0.0162
2.545	0.57	0.2207	0.0211
2.545	0.62	0.2436	0.0237
2.545	0.67	0.3446	0.0307
2.545	0.72	0.4409	0.0371
2.545	0.78	0.5889	0.0456
2.545	0.82	0.8821	0.0587
2.545	0.88	1.0714	0.0741
2.545	0.92	1.3877	0.1165
2.545	-0.79	0.0044	0.0035
2.545	-0.7	0.0074	0.0029
2.545	-0.6	0.0056	0.0022
2.545	-0.5	0.0063	0.0022
2.545	-0.39	0.011	0.0033
2.545	-0.3	0.0117	0.0027
2.545	-0.2	0.0111	0.0025
2.545	-0.1	0.0103	0.0023
2.545	0	0.0162	0.0027
2.545	0.1	0.0253	0.0035
2.545	0.2	0.0358	0.0045
2.545	0.3	0.0542	0.0055
2.555	0.37	0.0898	0.0103
2.555	0.42	0.0825	0.0103
2.555	0.47	0.0965	0.0127
2.555	0.53	0.1658	0.0183
2.555	0.57	0.1937	0.0183
2.555	0.62	0.2329	0.0228
2.555	0.67	0.2947	0.0279
2.555	0.72	0.3964	0.0369
2.555	0.78	0.5607	0.0465
2.555	0.82	0.7033	0.0565
2.555	0.88	1.0048	0.0733
2.555	0.92	1.3838	0.1248
2.555	-0.8	0.0067	0.0046
2.555	-0.69	0.0034	0.0023
2.555	-0.6	0.0063	0.0034
2.555	-0.5	0.0033	0.0016
2.555	-0.4	0.0063	0.002
2.555	-0.3	0.0072	0.0019
2.555	-0.2	0.008	0.002
2.555	-0.1	0.0101	0.0022
2.555	0	0.0131	0.0023
2.555	0.1	0.0208	0.0029
2.555	0.2	0.0374	0.0044
2.555	0.3	0.0634	0.0059
2.565	0.37	0.0696	0.0085
2.565	0.42	0.0993	0.0111
2.565	0.47	0.1162	0.0128
2.565	0.53	0.1517	0.0164
2.565	0.57	0.1951	0.018
2.565	0.62	0.2431	0.0215
2.565	0.67	0.3307	0.0303
2.565	0.72	0.4205	0.036
2.565	0.78	0.6206	0.0514
2.565	0.82	0.8142	0.0604
2.565	0.88	1.0959	0.0729
2.565	0.92	1.513	0.1222
2.565	-0.8	0.0089	0.0064
2.565	-0.7	0.0045	0.0025
2.565	-0.6	0.0042	0.0019
2.565	-0.5	0.0037	0.0016
2.565	-0.4	0.0044	0.0018
2.565	-0.3	0.0083	0.0022
2.565	-0.2	0.0095	0.0022
2.565	-0.1	0.01	0.0021
2.565	0	0.0134	0.0025
2.565	0.1	0.0244	0.0036
2.565	0.2	0.0354	0.0043
2.565	0.3	0.0535	0.0053
2.575	0.37	0.0679	0.0085
2.575	0.42	0.0636	0.0087
2.575	0.47	0.113	0.0135
2.575	0.53	0.1336	0.0151
2.575	0.57	0.1659	0.0158
2.575	0.62	0.2008	0.0199
2.575	0.67	0.2666	0.0251
2.575	0.72	0.3929	0.0347
2.575	0.78	0.5415	0.0453
2.575	0.82	0.7006	0.052
2.575	0.88	0.9396	0.0655
2.575	0.93	1.1642	0.1524
2.575	-0.79	0.0163	0.0083
2.575	-0.7	0.0024	0.0019
2.575	-0.59	0.0061	0.0028
2.575	-0.5	0.0048	0.0021
2.575	-0.4	0.0027	0.0014
2.575	-0.3	0.0035	0.0013
2.575	-0.2	0.0064	0.0018
2.575	-0.1	0.0097	0.0021
2.575	0	0.0139	0.0024
2.575	0.1	0.0154	0.0025
2.575	0.2	0.0323	0.0039
2.575	0.3	0.0449	0.0047
2.585	0.37	0.0628	0.0082
2.585	0.42	0.075	0.0094
2.585	0.47	0.0934	0.0117
2.585	0.53	0.1121	0.014
2.585	0.57	0.1588	0.0175
2.585	0.62	0.2274	0.0226
2.585	0.67	0.278	0.0272
2.585	0.72	0.3813	0.0358
2.585	0.78	0.5503	0.0456
2.585	0.82	0.6404	0.0476
2.585	0.88	1.0733	0.0786
2.585	0.92	1.5307	0.2357
2.585	-0.79	0.0061	0.0057
2.585	-0.7	0.0037	0.0024
2.585	-0.6	0.0048	0.0022
2.585	-0.51	0.0023	0.0015
2.585	-0.4	0.0042	0.0018
2.585	-0.3	0.0045	0.0017
2.585	-0.2	0.007	0.002
2.585	-0.1	0.0106	0.0023
2.585	0	0.013	0.0024
2.585	0.1	0.0184	0.0029
2.585	0.2	0.0253	0.0035
2.585	0.3	0.0534	0.0052
2.595	0.37	0.0566	0.0085
2.595	0.42	0.0623	0.009
2.595	0.47	0.0896	0.0118
2.595	0.53	0.1245	0.0154
2.595	0.57	0.1578	0.0166
2.595	0.62	0.2109	0.0208
2.595	0.67	0.2451	0.0251
2.595	0.72	0.3337	0.0332
2.595	0.78	0.5091	0.0452
2.595	0.82	0.6037	0.0506
2.595	0.88	1.0253	0.0701
2.595	0.93	1.5524	0.3614
2.595	-0.77	0.0007	0.0021
2.595	-0.69	0.002	0.0023
2.595	-0.6	0.0016	0.0013
2.595	-0.5	0.0021	0.0013
2.595	-0.4	0.0023	0.0014
2.595	-0.3	0.0051	0.0019
2.595	-0.2	0.0048	0.0018
2.595	-0.1	0.0069	0.002
2.595	0	0.0105	0.0023
2.595	0.1	0.0145	0.0026
2.595	0.2	0.0276	0.0039
2.595	0.3	0.0406	0.0047
2.605	0.37	0.0502	0.006
2.605	0.42	0.0688	0.0083
2.605	0.47	0.0789	0.0087
2.605	0.53	0.109	0.0111
2.605	0.57	0.1528	0.0141
2.605	0.62	0.21	0.0182
2.605	0.67	0.2267	0.0211
2.605	0.72	0.3783	0.0324
2.605	0.78	0.4509	0.0383
2.605	0.82	0.5943	0.0455
2.605	0.88	0.9899	0.1024
2.605	0.92	1.5087	0.115
2.605	-0.81	0.0029	0.0046
2.605	-0.69	0.0023	0.0016
2.605	-0.58	0.0021	0.0013
2.605	-0.5	0.0025	0.0011
2.605	-0.4	0.005	0.0015
2.605	-0.3	0.004	0.0011
2.605	-0.2	0.0049	0.0011
2.605	-0.1	0.0059	0.0012
2.605	0	0.0052	0.0011
2.605	0.1	0.0159	0.0021
2.605	0.2	0.0226	0.0025
2.605	0.3	0.0338	0.0033
2.615	0.37	0.0528	0.006
2.615	0.42	0.0894	0.0085
2.615	0.47	0.0919	0.0095
2.615	0.53	0.1208	0.0119
2.615	0.57	0.1699	0.0134
2.615	0.62	0.1989	0.0177
2.615	0.67	0.3033	0.026
2.615	0.72	0.4078	0.0322
2.615	0.78	0.5041	0.0368
2.615	0.82	0.7693	0.0515
2.615	0.88	1.0882	0.0693
2.615	0.93	1.5977	0.2469
2.615	-0.79	0.0163	0.0069
2.615	-0.7	0.0064	0.0026
2.615	-0.6	0.0049	0.0018
2.615	-0.49	0.0045	0.0018
2.615	-0.4	0.0064	0.0018
2.615	-0.3	0.0059	0.0014
2.615	-0.2	0.0066	0.0014
2.615	-0.1	0.0067	0.0013
2.615	0	0.0115	0.0017
2.615	0.1	0.0159	0.002
2.615	0.2	0.0273	0.0029
2.615	0.3	0.0415	0.0035
2.625	0.37	0.0524	0.0068
2.625	0.42	0.0681	0.0079
2.625	0.47	0.0874	0.0099
2.625	0.53	0.0981	0.0111
2.625	0.57	0.133	0.0133
2.625	0.62	0.2054	0.0185
2.625	0.67	0.276	0.0243
2.625	0.72	0.4322	0.0371
2.625	0.78	0.4983	0.0388
2.625	0.82	0.7162	0.0513
2.625	0.88	1.1745	0.0747
2.625	0.93	1.4694	0.1359
