CLAS physics database search results
Measurement E63M2

Curtis A. Meyer
0

W	cos(theta)	dsigma/dcos(theta)	Data errors
GeV	dimensionless	mcb	mcb
2.065	0.42	0.1302	0.0145
2.065	0.47	0.14	0.0149
2.065	0.53	0.1431	0.015
2.065	0.57	0.1536	0.0158
2.065	0.62	0.1492	0.0159
2.065	0.67	0.1733	0.0179
2.065	0.72	0.2099	0.0214
2.065	0.78	0.2367	0.0229
2.065	0.82	0.2715	0.0264
2.065	0.88	0.313	0.0295
2.065	0.93	0.3404	0.0375
2.065	-0.76	0.0323	0.0257
2.065	-0.7	0.0533	0.0116
2.065	-0.6	0.0484	0.0099
2.065	-0.5	0.0487	0.009
2.065	-0.4	0.0552	0.0086
2.065	-0.3	0.0536	0.0079
2.065	-0.2	0.053	0.0076
2.065	-0.1	0.0665	0.0086
2.065	0	0.0659	0.0083
2.065	0.1	0.0725	0.0081
2.065	0.2	0.0784	0.0079
2.065	0.3	0.0905	0.0081
2.075	0.37	0.1066	0.012
2.075	0.42	0.1251	0.013
2.075	0.47	0.1287	0.0136
2.075	0.53	0.138	0.0197
2.075	0.57	0.1689	0.017
2.075	0.62	0.1824	0.0177
2.075	0.67	0.2136	0.0195
2.075	0.72	0.2525	0.0226
2.075	0.78	0.2796	0.0237
2.075	0.82	0.3172	0.0273
2.075	0.88	0.3402	0.0293
2.075	0.93	0.4352	0.0408
2.075	-0.77	0.039	0.0219
2.075	-0.7	0.0591	0.0133
2.075	-0.6	0.0569	0.0102
2.075	-0.5	0.0518	0.0092
2.075	-0.4	0.0514	0.0084
2.075	-0.3	0.059	0.0083
2.075	-0.2	0.0531	0.0078
2.075	-0.1	0.0524	0.0072
2.075	0	0.0633	0.0076
2.075	0.1	0.0699	0.0078
2.075	0.2	0.0836	0.0083
2.075	0.3	0.0954	0.0085
2.085	0.37	0.1275	0.0142
2.085	0.42	0.1467	0.0153
2.085	0.47	0.1565	0.0166
2.085	0.53	0.1674	0.0166
2.085	0.57	0.2021	0.0192
2.085	0.62	0.2246	0.0214
2.085	0.67	0.2454	0.0215
2.085	0.72	0.2717	0.0226
2.085	0.78	0.3099	0.0251
2.085	0.82	0.3592	0.0288
2.085	0.88	0.3641	0.0327
2.085	0.93	0.5715	0.0504
2.085	-0.77	0.0251	0.0166
2.085	-0.7	0.0625	0.0113
2.085	-0.6	0.0678	0.011
2.085	-0.5	0.056	0.0096
2.085	-0.4	0.0673	0.0098
2.085	-0.3	0.0607	0.0087
2.085	-0.2	0.0549	0.0082
2.085	-0.1	0.0692	0.0093
2.085	0	0.0733	0.0093
2.085	0.1	0.0835	0.0088
2.085	0.2	0.086	0.0083
2.085	0.3	0.1122	0.0097
2.095	0.37	0.1106	0.0131
2.095	0.42	0.1453	0.0149
2.095	0.47	0.153	0.0153
2.095	0.53	0.1837	0.0167
2.095	0.57	0.1883	0.0167
2.095	0.62	0.2491	0.0209
2.095	0.67	0.2904	0.0224
2.095	0.72	0.3178	0.0238
2.095	0.78	0.3531	0.0266
2.095	0.82	0.4283	0.0324
2.095	0.88	0.4165	0.0333
2.095	0.93	0.5926	0.0518
2.095	-0.78	0.0493	0.0464
2.095	-0.7	0.0357	0.0079
2.095	-0.6	0.0495	0.0092
2.095	-0.5	0.0764	0.0116
2.095	-0.4	0.0696	0.0097
2.095	-0.3	0.0723	0.0092
2.095	-0.2	0.0621	0.008
2.095	-0.1	0.0686	0.0082
2.095	0	0.075	0.0083
2.095	0.1	0.0826	0.0085
2.095	0.2	0.0795	0.0079
2.095	0.3	0.1058	0.009
2.105	0.37	0.1202	0.0132
2.105	0.42	0.116	0.0127
2.105	0.47	0.1431	0.0151
2.105	0.53	0.1737	0.0166
2.105	0.57	0.2061	0.0181
2.105	0.62	0.2483	0.019
2.105	0.67	0.2594	0.02
2.105	0.72	0.3137	0.0241
2.105	0.78	0.3543	0.0268
2.105	0.82	0.3725	0.0302
2.105	0.88	0.4832	0.0398
2.105	0.93	0.6419	0.0556
2.105	-0.78	0.0617	0.0183
2.105	-0.7	0.0516	0.0091
2.105	-0.6	0.0665	0.0097
2.105	-0.5	0.0634	0.009
2.105	-0.4	0.0679	0.0088
2.105	-0.3	0.0589	0.0079
2.105	-0.2	0.0569	0.0076
2.105	-0.1	0.0635	0.008
2.105	0	0.0666	0.0081
2.105	0.1	0.0713	0.0078
2.105	0.2	0.0817	0.0078
2.105	0.3	0.1014	0.0086
2.115	0.37	0.1263	0.014
2.115	0.42	0.1265	0.0137
2.115	0.47	0.1628	0.0166
2.115	0.53	0.1755	0.0169
2.115	0.57	0.2204	0.019
2.115	0.62	0.2373	0.0197
2.115	0.67	0.2529	0.0207
2.115	0.72	0.3128	0.0252
2.115	0.78	0.3535	0.0286
2.115	0.82	0.4156	0.0327
2.115	0.88	0.4983	0.039
2.115	0.93	0.701	0.061
2.115	-0.78	0.0571	0.0203
2.115	-0.7	0.0668	0.0105
2.115	-0.6	0.0646	0.0101
2.115	-0.5	0.0628	0.0104
2.115	-0.4	0.0582	0.0097
2.115	-0.3	0.0726	0.0089
2.115	-0.2	0.0618	0.008
2.115	-0.1	0.0684	0.0086
2.115	0	0.0593	0.0078
2.115	0.1	0.0662	0.0086
2.115	0.2	0.0831	0.0084
2.115	0.3	0.1077	0.0094
2.125	0.37	0.1084	0.0121
2.125	0.42	0.1399	0.0145
2.125	0.47	0.1655	0.0158
2.125	0.53	0.189	0.0164
2.125	0.57	0.2359	0.0187
2.125	0.62	0.2112	0.0178
2.125	0.67	0.3073	0.0239
2.125	0.72	0.3231	0.0238
2.125	0.78	0.3533	0.0273
2.125	0.82	0.4817	0.0348
2.125	0.88	0.5215	0.0382
2.125	0.93	0.7199	0.0571
2.125	-0.78	0.0405	0.0126
2.125	-0.7	0.0354	0.0074
2.125	-0.6	0.0665	0.0094
2.125	-0.5	0.0499	0.008
2.125	-0.4	0.0545	0.0078
2.125	-0.3	0.0523	0.007
2.125	-0.2	0.0556	0.0068
2.125	-0.1	0.0687	0.0074
2.125	0	0.0655	0.0073
2.125	0.1	0.0667	0.007
2.125	0.2	0.0805	0.0077
2.125	0.3	0.098	0.0083
2.135	0.37	0.136	0.0138
2.135	0.42	0.1419	0.0137
2.135	0.47	0.1557	0.0143
2.135	0.53	0.1648	0.0142
2.135	0.57	0.2079	0.0166
2.135	0.62	0.2258	0.0181
2.135	0.67	0.2555	0.0203
2.135	0.72	0.3249	0.0249
2.135	0.78	0.3691	0.0277
2.135	0.82	0.3999	0.0308
2.135	0.88	0.5452	0.0397
2.135	-0.78	0.0355	0.0117
2.135	-0.7	0.0418	0.0081
2.135	-0.6	0.0529	0.0087
2.135	-0.5	0.055	0.0082
2.135	-0.4	0.067	0.0087
2.135	-0.3	0.0634	0.0076
2.135	-0.2	0.0505	0.0065
2.135	-0.1	0.0679	0.0072
2.135	0	0.0729	0.0077
2.135	0.1	0.0747	0.0074
2.135	0.2	0.0858	0.0074
2.135	0.3	0.1145	0.0084
2.145	0.37	0.1084	0.0124
2.145	0.42	0.1473	0.0149
2.145	0.47	0.1611	0.0149
2.145	0.53	0.1664	0.0157
2.145	0.57	0.2126	0.0181
2.145	0.62	0.2834	0.0223
2.145	0.67	0.3072	0.0226
2.145	0.72	0.3522	0.0263
2.145	0.78	0.4289	0.0297
2.145	0.82	0.5697	0.0404
2.145	0.88	0.5769	0.0428
2.145	0.93	0.8563	0.0765
2.145	-0.79	0.0414	0.0124
2.145	-0.7	0.05	0.0089
2.145	-0.6	0.0346	0.0067
2.145	-0.5	0.0482	0.008
2.145	-0.4	0.0583	0.0084
2.145	-0.3	0.0556	0.0079
2.145	-0.2	0.064	0.0078
2.145	-0.1	0.0573	0.0072
2.145	0	0.0594	0.0067
2.145	0.1	0.069	0.0071
2.145	0.2	0.082	0.0072
2.145	0.3	0.102	0.0082
2.155	0.37	0.1362	0.0133
2.155	0.42	0.1568	0.015
2.155	0.47	0.2037	0.0166
2.155	0.53	0.2025	0.0165
2.155	0.57	0.2132	0.0179
2.155	0.62	0.2738	0.0219
2.155	0.67	0.3182	0.0243
2.155	0.72	0.3452	0.0251
2.155	0.78	0.4117	0.0276
2.155	0.82	0.5594	0.0361
2.155	0.88	0.8218	0.0533
2.155	0.93	0.8919	0.0845
2.155	-0.79	0.0283	0.0172
2.155	-0.7	0.0363	0.0072
2.155	-0.6	0.0485	0.0077
2.155	-0.5	0.0633	0.0087
2.155	-0.4	0.0743	0.0089
2.155	-0.3	0.0539	0.0072
2.155	-0.2	0.0525	0.0068
2.155	-0.1	0.0559	0.0067
2.155	0	0.0621	0.0069
2.155	0.1	0.0677	0.0067
2.155	0.2	0.0831	0.0073
2.155	0.3	0.1023	0.0081
2.165	0.37	0.1304	0.0134
2.165	0.42	0.1431	0.0129
2.165	0.47	0.1499	0.0136
2.165	0.53	0.199	0.0157
2.165	0.57	0.244	0.0176
2.165	0.62	0.2457	0.029
2.165	0.67	0.2991	0.0199
2.165	0.72	0.3736	0.0248
2.165	0.78	0.4271	0.0269
2.165	0.82	0.5267	0.0339
2.165	0.88	0.7104	0.0462
2.165	-0.79	0.0234	0.008
2.165	-0.7	0.0303	0.0067
2.165	-0.6	0.042	0.0074
2.165	-0.5	0.0429	0.007
2.165	-0.4	0.0408	0.0061
2.165	-0.3	0.053	0.0067
2.165	-0.2	0.0613	0.007
2.165	-0.1	0.0708	0.0073
2.165	0	0.0662	0.0065
2.165	0.1	0.0739	0.0065
2.165	0.2	0.0797	0.0063
2.165	0.3	0.1037	0.0075
2.175	0.37	0.11	0.0107
2.175	0.42	0.1205	0.0109
2.175	0.47	0.1553	0.0124
2.175	0.53	0.189	0.015
2.175	0.57	0.2083	0.0159
2.175	0.62	0.2393	0.0167
2.175	0.67	0.2854	0.02
2.175	0.72	0.32	0.0207
2.175	0.78	0.4265	0.0267
2.175	0.82	0.5285	0.0354
2.175	0.88	0.7227	0.0473
2.175	-0.79	0.0364	0.0096
2.175	-0.7	0.0366	0.007
2.175	-0.6	0.0404	0.0066
2.175	-0.5	0.0482	0.0068
2.175	-0.4	0.041	0.0057
2.175	-0.3	0.0533	0.0065
2.175	-0.2	0.0564	0.0063
2.175	-0.1	0.0593	0.0061
2.175	0	0.0516	0.0053
2.175	0.1	0.0627	0.0056
2.175	0.2	0.0842	0.0064
2.175	0.3	0.0897	0.0066
2.185	0.37	0.1336	0.0117
