		0.060			0.100			0.140			0.180			0.220
1.6500	1.9942	0.3367	0.0677	0.0168	0.2808	0.0385	0.0133	0.2853	0.0103	0.0135	0.2411	0.0173	0.0119	0.2059	0.0104	0.0108
1.7500	2.0407	0.5033	0.0331	0.0210	0.4052	0.0385	0.0154	0.3562	0.0298	0.0138	0.3262	0.0189	0.0130	0.2929	0.0218	0.0115
1.8500	2.0861	0.5815	0.0682	0.0252	0.4991	0.0443	0.0196	0.4159	0.0495	0.0156	0.4453	0.0701	0.0169	0.3571	0.0240	0.0145
1.9500	2.1306	0.7171	0.1199	0.0361	0.7058	0.0266	0.0292	0.5945	0.0471	0.0240	0.4673	0.0210	0.0195	0.3744	0.0442	0.0162
2.0500	2.1742	0.7187	0.1023	0.0486	0.6419	0.0344	0.0311	0.5528	0.0745	0.0255	0.4624	0.0351	0.0205	0.4505	0.0307	0.0204
2.1500	2.2170	0.7754	0.0604	0.0710	0.6640	0.0261	0.0415	0.6215	0.0426	0.0331	0.5022	0.0248	0.0230	0.4302	0.0231	0.0212
2.2500	2.2589	0.7271	0.1039	0.0846	0.5615	0.0389	0.0367	0.4425	0.0408	0.0248	0.4399	0.0380	0.0269	0.4093	0.0456	0.0238
2.3500	2.3001	0.5836	0.0834	0.0871	0.4521	0.0204	0.0379	0.3822	0.0366	0.0275	0.4159	0.0300	0.0293	0.3583	0.0192	0.0273
2.4500	2.3405	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6228	0.0316	0.0467	0.5617	0.0682	0.0400
2.5500	2.3803	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6534	0.0519	0.0536	0.6069	0.1900	0.0504
2.6500	2.4193	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7104	0.0443	0.0722	0.6868	0.0301	0.0659
2.7500	2.4578	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6062	0.0371	0.0753	0.6965	0.0332	0.0733
