CLAS physics database search results
Measurement E63M3

Curtis A. Meyer
0

W	cos(theta)	dsigma/dcos(theta)	Data errors
GeV	dimensionless	mcb	mcb
1.985	-0.5	0.0423	0.0127
1.985	-0.4	0.0389	0.0082
1.985	-0.3	0.0462	0.0071
1.985	-0.2	0.046	0.0062
1.985	-0.1	0.0409	0.0052
1.985	0	0.0415	0.0053
1.985	0.1	0.0451	0.0054
1.985	0.2	0.0489	0.0056
1.985	0.3	0.0622	0.0061
1.985	0.37	0.0808	0.0093
1.985	0.42	0.0718	0.0086
1.985	0.47	0.073	0.009
1.985	0.53	0.0602	0.0076
1.985	0.57	0.0683	0.0089
1.985	0.62	0.0903	0.0108
1.985	0.67	0.0847	0.0108
1.985	0.72	0.0993	0.0128
1.985	0.78	0.0948	0.0143
1.985	0.82	0.1071	0.0192
2.015	-0.7	0.0331	0.0341
2.015	-0.6	0.0401	0.0059
2.015	-0.5	0.0454	0.0065
2.015	-0.4	0.0439	0.0057
2.015	-0.3	0.0499	0.0058
2.015	-0.2	0.0523	0.0054
2.015	-0.1	0.065	0.006
2.015	0	0.0651	0.0058
2.015	0.1	0.0632	0.0057
2.015	0.2	0.0805	0.0064
2.015	0.3	0.089	0.0075
2.015	0.37	0.0895	0.0088
2.015	0.42	0.0868	0.0082
2.015	0.47	0.0963	0.0093
2.015	0.53	0.1169	0.0103
2.015	0.57	0.109	0.0097
2.015	0.62	0.1422	0.0116
2.015	0.67	0.1179	0.0098
2.015	0.72	0.1596	0.0123
2.015	0.78	0.1562	0.0128
2.015	0.82	0.154	0.0125
2.015	0.88	0.1674	0.0144
2.015	0.93	0.1857	0.0331
2.045	-0.7	0.0478	0.0075
2.045	-0.6	0.0543	0.0066
2.045	-0.5	0.0522	0.0067
2.045	-0.4	0.0562	0.0068
2.045	-0.3	0.0506	0.006
2.045	-0.2	0.0586	0.0064
2.045	-0.1	0.0671	0.0066
2.045	0	0.0679	0.0066
2.045	0.1	0.078	0.0071
2.045	0.2	0.0803	0.0072
2.045	0.3	0.0839	0.0072
2.045	0.37	0.0931	0.0092
2.045	0.42	0.1126	0.0102
2.045	0.47	0.1127	0.0104
2.045	0.53	0.1386	0.0124
2.045	0.57	0.1352	0.0112
2.045	0.62	0.1345	0.0111
2.045	0.67	0.1646	0.0129
2.045	0.72	0.1898	0.0148
2.045	0.78	0.1976	0.0152
2.045	0.82	0.2131	0.0161
2.045	0.88	0.2494	0.0189
2.045	0.93	0.2953	0.0222
2.075	-0.78	0.0703	0.0723
2.075	-0.7	0.0519	0.0077
2.075	-0.6	0.0548	0.0073
2.075	-0.5	0.0548	0.0074
2.075	-0.4	0.0632	0.0072
2.075	-0.3	0.0667	0.0074
2.075	-0.2	0.0669	0.0069
2.075	-0.1	0.069	0.0068
2.075	0	0.0714	0.0072
2.075	0.1	0.067	0.0065
2.075	0.2	0.0829	0.0075
2.075	0.3	0.0989	0.0087
2.075	0.37	0.1237	0.012
2.075	0.42	0.1227	0.0113
2.075	0.47	0.1532	0.013
2.075	0.53	0.15	0.0129
2.075	0.57	0.1658	0.0136
2.075	0.62	0.173	0.0142
2.075	0.67	0.2053	0.0158
2.075	0.72	0.2294	0.0168
2.075	0.78	0.2518	0.0177
2.075	0.82	0.2997	0.0209
2.075	0.88	0.3455	0.0231
2.075	0.93	0.4193	0.0311
2.105	-0.79	0.0694	0.1381
2.105	-0.7	0.0454	0.0076
2.105	-0.6	0.0398	0.0068
2.105	-0.5	0.0448	0.0069
2.105	-0.4	0.0582	0.0074
2.105	-0.3	0.0548	0.0067
2.105	-0.2	0.0598	0.0067
2.105	-0.1	0.0679	0.007
2.105	0	0.0657	0.007
2.105	0.1	0.0705	0.007
2.105	0.2	0.0841	0.0074
2.105	0.3	0.111	0.009
2.105	0.37	0.1333	0.012
2.105	0.42	0.1396	0.0121
2.105	0.47	0.1561	0.0133
2.105	0.53	0.1675	0.014
2.105	0.57	0.2043	0.0164
2.105	0.62	0.2242	0.017
2.105	0.67	0.2449	0.0171
2.105	0.72	0.3177	0.0204
2.105	0.78	0.308	0.021
2.105	0.82	0.3606	0.0242
2.105	0.88	0.4107	0.0286
2.105	0.93	0.5125	0.0366
2.135	-0.79	0.0409	0.0142
2.135	-0.7	0.0369	0.0073
2.135	-0.6	0.0445	0.0078
2.135	-0.5	0.0499	0.0077
2.135	-0.4	0.0605	0.008
2.135	-0.3	0.057	0.0072
2.135	-0.2	0.0578	0.0073
2.135	-0.1	0.0643	0.0073
2.135	0	0.0563	0.0063
2.135	0.1	0.0772	0.0075
2.135	0.2	0.0911	0.0083
2.135	0.3	0.106	0.0093
2.135	0.37	0.1437	0.0134
2.135	0.42	0.1469	0.0129
2.135	0.47	0.182	0.0149
2.135	0.53	0.1984	0.0157
